ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,ProductStatus
PRD001,Aero Laptops 1,Laptops,Budget,Core,421.23,770.35,Active
PRD002,Pulse Audio 2,Audio,Budget,Nexus,459.95,1009.51,Discontinued
PRD003,Pulse Gaming 3,Gaming,Premium,Core,336.36,489.13,Active
PRD004,Volt Audio 4,,Standard,Aero,278.26,680.22,Active
PRD005,Volt Audio 5,Audio,Premium,Pulse,444.23,1044.73,Active
PRD006,Volt Wearables 6,Wearables,Standard,Nexus,434.1,1065.43,Active
PRD007,Orbit Audio 7,,Budget,Aero,506.11,849.99,Active
PRD008,Aero Smartphones 8,Smartphones,Budget,Volt,226.85,315.45,Active
PRD009,Volt Accessories 9,Accessories,Premium,Aero,526.37,1269.43,Active
PRD010,Nexus Laptops 10,Laptops,Standard,Core,426.43,615.01,Active
PRD011,Volt Audio 11,Audio,Standard,Orbit,230.98,357.41,Active
PRD012,Volt Audio 12,Audio,Premium,Core,61.16,116.58,Active
PRD013,Volt Wearables 13,,Standard,Volt,282.99,523.91,Active
PRD014,Aero Wearables 14,Wearables,Premium,Nexus,62.66,110.38,Active
PRD015,Volt Accessories 15,Accessories,Budget,Orbit,521.73,900.2,Discontinued
PRD016,Pulse Audio 16,Audio,Standard,Volt,440.01,1088.09,Active
PRD017,Pulse Wearables 17,Wearables,Standard,Volt,46.67,62.47,Active
PRD018,Volt Wearables 18,Wearables,Premium,Nexus,540.07,746.19,Active
PRD019,Pulse Audio 19,Audio,Premium,Core,317.23,718.75,Active
PRD020,Volt Smartphones 20,Smartphones,Standard,Orbit,443.64,554.76,Active
PRD021,Pulse Gaming 21,Gaming,Standard,Pulse,76.48,158.66,Active
PRD022,Orbit Smartphones 22,Smartphones,Premium,Core,154.88,256.54,Active
PRD023,Aero Wearables 23,Wearables,Budget,Core,95.89,204.51,Active
PRD024,Orbit Gaming 24,Gaming,Premium,Pulse,37.02,78.8,Active
PRD025,Orbit Wearables 25,,Standard,Volt,230.38,530.28,Active
PRD026,Aero Laptops 26,Laptops,Standard,Aero,425.04,795.2,Discontinued
PRD027,Orbit Smartphones 27,Smartphones,Budget,Nexus,221.4,517.78,Active
PRD028,Aero Laptops 28,Laptops,Standard,Orbit,78.7,140.7,Active
PRD029,Pulse Laptops 29,Laptops,Standard,Aero,255.51,360.57,Active
PRD030,Aero Gaming 30,Gaming,Standard,Core,445.05,567.0,Active
PRD031,Volt Smartphones 31,Smartphones,Premium,Core,86.74,178.1,Active
PRD032,Orbit Gaming 32,Gaming,Premium,Nexus,519.68,1029.07,Active
PRD033,Aero Smartphones 33,Smartphones,Standard,Orbit,115.54,283.64,Active
PRD034,Nexus Smartphones 34,Smartphones,Premium,Aero,379.83,662.71,Active
PRD035,Pulse Accessories 35,Accessories,Standard,Nexus,153.36,262.64,Active
PRD036,Nexus Accessories 36,Accessories,Budget,Orbit,443.25,1088.59,Active
PRD037,Pulse Accessories 37,Accessories,Standard,Nexus,197.8,451.39,Active
PRD038,Orbit Smartphones 38,Smartphones,Standard,Pulse,312.17,442.44,Active
PRD039,Nexus Wearables 39,Wearables,Standard,Orbit,323.16,765.4,Active
PRD040,Nexus Smartphones 40,Smartphones,Premium,Aero,347.67,720.79,Active
PRD041,Aero Accessories 41,Accessories,Premium,Pulse,136.23,317.51,Active
PRD042,Pulse Audio 42,Audio,Standard,Aero,340.73,576.17,Active
PRD043,Volt Audio 43,Audio,Standard,Nexus,78.58,134.93,Active
PRD044,Nexus Wearables 44,Wearables,Budget,Pulse,52.38,87.58,Active
PRD045,Orbit Audio 45,Audio,Premium,Aero,334.71,544.23,Active
PRD046,Aero Smartphones 46,Smartphones,Standard,Nexus,541.14,1051.5,Active
PRD047,Nexus Audio 47,Audio,Premium,Volt,265.69,494.38,Active
PRD048,Orbit Audio 48,Audio,Standard,Pulse,100.57,125.89,Active
PRD049,Aero Audio 49,Audio,Premium,Aero,42.63,105.38,Active
PRD050,Volt Gaming 50,Gaming,Standard,Core,145.91,228.4,Active
PRD051,Volt Audio 51,Audio,Budget,Orbit,316.52,442.87,Active
PRD052,Aero Laptops 52,Laptops,Premium,Aero,420.1,657.48,Active
PRD053,Pulse Gaming 53,Gaming,Premium,Nexus,55.38,115.38,Active
PRD054,Aero Audio 54,Audio,Budget,Orbit,499.23,728.13,Active
PRD055,Orbit Gaming 55,Gaming,Premium,Nexus,159.04,259.86,Active
PRD056,Orbit Wearables 56,Wearables,Premium,Orbit,508.96,1182.21,Active
PRD057,Volt Laptops 57,Laptops,Budget,Orbit,338.99,687.38,Active
PRD058,Orbit Smartphones 58,Smartphones,Standard,Volt,50.47,94.69,Active
PRD059,Volt Gaming 59,Gaming,Budget,Core,464.86,992.43,Active
PRD060,Orbit Audio 60,Audio,Premium,Core,277.26,691.7,Active
PRD061,Nexus Wearables 61,Wearables,Premium,Nexus,516.93,1245.44,Active
PRD062,Aero Laptops 62,Laptops,Standard,Nexus,412.59,658.74,Active
PRD063,Orbit Accessories 63,Accessories,Premium,Nexus,433.45,593.83,Active
PRD064,Nexus Laptops 64,Laptops,Premium,Orbit,173.67,396.23,Active
PRD065,Aero Smartphones 65,Smartphones,Premium,Pulse,223.55,371.76,Active
PRD066,Nexus Smartphones 66,Smartphones,Budget,Orbit,349.06,612.55,Active
PRD067,Nexus Accessories 67,Accessories,Standard,Aero,140.01,250.83,Active
PRD068,Aero Audio 68,Audio,Budget,Orbit,78.77,144.72,Active
PRD069,Aero Gaming 69,Gaming,Standard,Orbit,344.98,751.25,Active
PRD070,Orbit Wearables 70,Wearables,Budget,Orbit,441.84,956.79,Active
PRD071,Pulse Accessories 71,Accessories,Budget,Nexus,179.28,256.19,Active
PRD072,Pulse Gaming 72,Gaming,Standard,Aero,406.13,727.94,Active
PRD073,Nexus Smartphones 73,Smartphones,Budget,Aero,447.52,872.19,Active
PRD074,Orbit Accessories 74,Accessories,Premium,Aero,272.8,367.45,Active
PRD075,Nexus Audio 75,Audio,Budget,Aero,274.1,553.6,Active
PRD076,Aero Gaming 76,Gaming,Standard,Volt,521.7,1227.35,Active
PRD077,Aero Accessories 77,Accessories,Premium,Nexus,270.53,549.27,Active
PRD078,Nexus Accessories 78,Accessories,Budget,Pulse,407.45,676.26,Active
PRD079,Pulse Accessories 79,Accessories,Budget,Nexus,67.78,87.68,Active
PRD080,Aero Audio 80,Audio,Standard,Aero,452.03,997.91,Active
PRD081,Pulse Accessories 81,Accessories,Standard,Pulse,362.59,465.05,Discontinued
PRD082,Volt Accessories 82,Accessories,Budget,Core,482.94,1046.61,Discontinued
PRD083,Aero Smartphones 83,Smartphones,Premium,Orbit,532.22,963.17,Active
PRD084,Orbit Accessories 84,Accessories,Premium,Aero,322.57,761.49,Active
PRD085,Volt Accessories 85,Accessories,Budget,Aero,123.78,294.47,Active
PRD086,Nexus Accessories 86,Accessories,Premium,Core,470.54,1058.18,Discontinued
PRD087,Orbit Wearables 87,Wearables,Premium,Core,79.97,133.05,Active
PRD088,Orbit Gaming 88,Gaming,Budget,Volt,377.5,712.62,Active
PRD089,Orbit Accessories 89,Accessories,Premium,Aero,496.57,1191.6,Active
PRD090,Pulse Accessories 90,Accessories,Premium,Orbit,535.16,1161.87,Active
PRD091,Volt Laptops 91,Laptops,Budget,Nexus,142.57,273.58,Discontinued
PRD092,Aero Smartphones 92,Smartphones,Standard,Core,132.85,235.59,Active
PRD093,Orbit Laptops 93,Laptops,Budget,Pulse,25.02,36.51,Active
PRD094,Pulse Smartphones 94,Smartphones,Budget,Nexus,265.0,394.89,Active
PRD095,Volt Laptops 95,Laptops,Budget,Nexus,198.13,414.17,Discontinued
PRD096,Orbit Wearables 96,Wearables,Budget,Orbit,521.34,1106.48,Active
PRD097,Pulse Audio 97,Audio,Standard,Aero,229.68,289.76,Active
