InventoryID,SnapshotDate,StoreID,ProductID,ClosingStock,StockValue,ReorderLevel,StockStatus
INV000001,2023-01-31,STR10,PRD027,106,23468.4,7,OK
INV000002,2023-01-31,STR10,PRD102,71,31276.21,20,OK
INV000003,2023-01-31,STR10,PRD110,116,15615.92,18,OK
INV000004,2023-01-31,STR10,PRD071,98,17569.44,22,OK
INV000005,2023-01-31,STR10,PRD114,126,33940.62,18,OK
INV000006,2023-01-31,STR10,PRD134,121,45293.93,18,OK
INV000007,2023-01-31,STR10,PRD019,78,24743.94,20,OK
INV000008,2023-01-31,STR10,PRD014,34,2130.44,16,OK
INV000009,2023-01-31,STR10,PRD088,86,32465.0,11,OK
INV000010,2023-01-31,STR10,PRD011,7,1616.86,7,Low
INV000011,2023-01-31,STR10,PRD067,85,11900.85,18,OK
INV000012,2023-01-31,STR10,PRD051,123,38931.96,6,OK
INV000013,2023-01-31,STR10,PRD091,103,14684.71,11,OK
INV000014,2023-01-31,STR10,PRD004,2,556.52,10,Low
INV000015,2023-01-31,STR10,PRD128,41,6661.68,30,OK
INV000016,2023-01-31,STR10,PRD072,91,36957.83,29,OK
INV000017,2023-01-31,STR10,PRD056,140,71254.4,20,OK
INV000018,2023-01-31,STR10,PRD069,2,689.96,30,Low
INV000019,2023-01-31,STR10,PRD005,108,47976.84,20,OK
INV000020,2023-01-31,STR10,PRD030,43,19137.15,29,OK
INV000021,2023-01-31,STR10,PRD033,106,12247.24,8,OK
INV000022,2023-01-31,STR10,PRD150,129,45764.04,24,OK
INV000023,2023-01-31,STR10,PRD097,68,15618.24,22,OK
INV000024,2023-01-31,STR10,PRD007,107,54153.77,20,OK
INV000025,2023-01-31,STR10,PRD095,31,6142.03,20,OK
INV000026,2023-01-31,STR10,PRD053,150,8307.0,21,OK
INV000027,2023-01-31,STR10,PRD083,84,44706.48,18,OK
INV000028,2023-01-31,STR10,PRD146,139,60177.27,27,OK
INV000029,2023-01-31,STR10,PRD038,127,39645.59,14,OK
INV000030,2023-01-31,STR10,PRD075,70,19187.0,6,OK
INV000031,2023-01-31,STR09,PRD133,101,41000.95,12,OK
INV000032,2023-01-31,STR09,PRD014,150,9399.0,17,OK
INV000033,2023-01-31,STR09,PRD047,1,265.69,27,Low
INV000034,2023-01-31,STR09,PRD078,19,7741.55,27,OK
INV000035,2023-01-31,STR09,PRD066,94,32811.64,5,OK
INV000036,2023-01-31,STR09,PRD020,150,66546.0,24,OK
INV000037,2023-01-31,STR09,PRD065,19,4247.45,27,OK
INV000038,2023-01-31,STR09,PRD063,3,1300.35,21,Low
INV000039,2023-01-31,STR09,PRD002,88,40475.6,5,OK
INV000040,2023-01-31,STR09,PRD043,69,5422.02,12,OK
INV000041,2023-01-31,STR09,PRD079,90,6100.2,11,OK
INV000042,2023-01-31,STR09,PRD087,117,9356.49,30,OK
INV000043,2023-01-31,STR09,PRD072,148,60107.24,19,OK
INV000044,2023-01-31,STR09,PRD083,31,16498.82,22,OK
INV000045,2023-01-31,STR09,PRD007,92,46562.12,28,OK
INV000046,2023-01-31,STR09,PRD034,42,15952.86,6,OK
INV000047,2023-01-31,STR09,PRD141,127,25585.42,6,OK
INV000048,2023-01-31,STR09,PRD140,111,42336.51,13,OK
INV000049,2023-01-31,STR09,PRD121,87,17312.13,28,OK
INV000050,2023-01-31,STR09,PRD132,6,1389.84,10,Low
INV000051,2023-01-31,STR09,PRD143,51,9302.91,18,OK
INV000052,2023-01-31,STR09,PRD021,74,5659.52,17,OK
INV000053,2023-01-31,STR09,PRD011,2,461.96,15,Low
INV000054,2023-01-31,STR09,PRD024,31,1147.62,6,OK
INV000055,2023-01-31,STR09,PRD031,110,9541.4,24,OK
INV000056,2023-01-31,STR09,PRD068,7,551.39,28,Low
INV000057,2023-01-31,STR09,PRD089,3,1489.71,11,Low
INV000058,2023-01-31,STR09,PRD074,77,21005.6,13,OK
INV000059,2023-01-31,STR09,PRD036,29,12854.25,14,OK
INV000060,2023-01-31,STR09,PRD084,72,23225.04,24,OK
INV000061,2023-01-31,STR17,PRD030,109,48510.45,14,OK
INV000062,2023-01-31,STR17,PRD017,65,3033.55,12,OK
INV000063,2023-01-31,STR17,PRD097,66,15158.88,28,OK
INV000064,2023-01-31,STR17,PRD060,139,38539.14,16,OK
INV000065,2023-01-31,STR17,PRD126,5,1817.5,18,Low
INV000066,2023-01-31,STR17,PRD083,85,45238.7,30,OK
INV000067,2023-01-31,STR17,PRD075,92,25217.2,5,OK
INV000068,2023-01-31,STR17,PRD050,87,12694.17,14,OK
INV000069,2023-01-31,STR17,PRD142,8,2192.0,19,Low
INV000070,2023-01-31,STR17,PRD098,34,9268.06,14,OK
INV000071,2023-01-31,STR17,PRD015,137,71477.01,5,OK
