ReturnID,SalesID,ReturnDate,ProductID,StoreID,CustomerID,ReturnQuantity,RefundAmount,ReturnReason
RET00001,SAL12284,2022-07-13,PRD054,STR14,CUS0506,1,564.53,Defective
RET00002,SAL01987,2023-04-15,PRD014,STR02,CUS0538,1,77.42,Performance Issues
RET00003,SAL03975,2022-03-24,PRD087,STR10,CUS0786,1,107.33,Performance Issues
RET00004,SAL09642,2022-01-14,PRD147,STR09,CUS0458,1,144.18,Wrong Item
RET00005,SAL04518,2024-10-19,PRD145,STR09,CUS0542,2,2363.92,Performance Issues
RET00006,SAL13156,2023-09-05,PRD071,STR08,CUS0469,1,256.12,Defective
RET00007,SAL14569,2024-02-03,PRD064,STR05,CUS0291,1,322.83,Changed Mind
RET00008,SAL09873,2024-06-15,PRD145,STR18,CUS0530,1,1556.68,Wrong Item
RET00009,SAL01158,2024-08-28,PRD092,STR06,CUS0046,1,300.81,Damaged
RET00010,SAL10831,2022-10-10,PRD131,STR12,CUS0381,2,696.16,Damaged
RET00011,SAL11935,2023-04-10,PRD093,STR15,CUS0285,5,195.16,Not as Described
RET00012,SAL12662,2023-10-14,PRD095,STR11,CUS0290,1,247.94,Damaged
RET00013,SAL05146,2022-02-12,PRD066,STR13,CUS0454,1,324.28,Wrong Item
RET00014,SAL09112,2025-03-09,PRD122,STR09,CUS0236,1,193.69,Damaged
RET00015,SAL12163,2025-08-13,PRD104,STR07,CUS0703,1,1168.81,Damaged
RET00016,SAL13955,2022-01-26,PRD081,STR17,CUS0158,1,745.0,Damaged
RET00017,SAL03618,2022-07-08,PRD061,STR06,CUS0023,1,3182.34,Performance Issues
RET00018,SAL01247,2022-06-14,PRD008,STR06,CUS0792,1,136.58,Performance Issues
RET00019,SAL07656,2023-11-28,PRD130,STR01,CUS0218,1,108.57,Wrong Item
RET00020,SAL01454,2024-11-09,PRD017,STR10,CUS0775,2,150.18,Defective
RET00021,SAL00055,2024-03-11,PRD043,STR09,CUS0287,1,73.87,Changed Mind
RET00022,SAL08755,2022-04-06,PRD124,STR02,CUS0399,1,437.32,Changed Mind
