SalesID,OrderDate,StoreID,CustomerID,ProductID,EmployeeID,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,Channel
SAL00001,2022-02-16,STR18,CUS0790,PRD079,EMP041,3,87.68,0.0,263.04,203.34,59.7,Mobile App
SAL00002,2022-07-22,STR17,CUS0508,PRD095,EMP078,2,414.17,0.0,828.34,396.26,432.08,Online
SAL00003,2022-09-19,STR15,CUS0115,PRD047,EMP014,1,494.38,0.0,494.38,265.69,228.69,Retail Store
SAL00004,2024-11-13,STR03,CUS0379,PRD062,EMP033,3,658.74,0.0,1976.22,1237.77,738.45,Retail Store
SAL00005,2022-11-18,STR11,CUS0719,PRD048,EMP058,1,125.89,0.0,125.89,100.57,25.32,Mobile App
SAL00006,2024-09-03,STR11,CUS0069,PRD130,EMP067,1,56.45,0.1,50.81,31.43,19.38,Online
SAL00007,2022-07-19,STR03,CUS0165,PRD072,EMP010,1,727.94,0.1,655.15,406.13,249.02,Retail Store
SAL00008,2022-10-25,STR02,CUS0004,PRD078,EMP016,2,676.26,0.15,1149.64,814.9,334.74,Marketplace
SAL00009,2023-12-19,STR06,CUS0428,PRD069,EMP025,1,751.25,0.1,676.12,344.98,331.14,Online
SAL00010,2024-06-15,STR15,CUS0545,PRD062,EMP024,1,658.74,0.0,658.74,412.59,246.15,Retail Store
SAL00011,2022-03-31,STR17,CUS0770,PRD054,EMP024,4,728.13,0.1,2621.27,1996.92,624.35,Online
SAL00012,2024-07-16,STR18,CUS0496,PRD082,EMP027,2,1046.61,0.0,2093.22,965.88,1127.34,Online
SAL00013,2025-06-24,STR13,CUS0721,PRD019,EMP055,1,718.75,0.0,718.75,317.23,401.52,Retail Store
SAL00014,2024-04-11,STR02,CUS0440,PRD010,EMP052,2,615.01,0.0,1230.02,852.86,377.16,Marketplace
SAL00015,2025-08-09,STR01,CUS0105,PRD046,EMP075,1,1051.5,0.0,1051.5,541.14,510.36,Marketplace
SAL00016,2024-02-13,STR09,CUS0205,PRD128,EMP067,1,389.92,0.05,370.42,162.48,207.94,Marketplace
SAL00017,2024-10-09,STR09,CUS0357,PRD096,EMP079,1,1106.48,0.05,1051.16,521.34,529.82,Mobile App
SAL00018,2023-09-16,STR16,CUS0279,PRD061,EMP064,3,1245.44,0.2,2989.06,1550.79,1438.27,Retail Store
SAL00019,2024-11-21,STR17,CUS0519,PRD081,EMP057,3,465.05,0.0,1395.15,1087.77,307.38,Mobile App
SAL00020,2023-12-20,STR14,CUS0068,PRD041,EMP064,4,317.51,0.0,1270.04,544.92,725.12,Marketplace
SAL00021,2024-05-27,STR10,CUS0559,PRD002,EMP037,1,1009.51,0.0,1009.51,459.95,549.56,Online
SAL00022,2024-03-09,STR17,CUS0482,PRD139,EMP001,2,240.32,0.0,480.64,327.2,153.44,Marketplace
SAL00023,2023-08-06,STR17,CUS0152,PRD074,EMP048,1,367.45,0.0,367.45,272.8,94.65,Retail Store
SAL00024,2025-08-08,STR08,CUS0582,PRD079,EMP005,1,87.68,0.0,87.68,67.78,19.9,Online
SAL00025,2023-06-02,STR17,CUS0626,PRD121,EMP069,1,335.41,0.1,301.87,198.99,102.88,Marketplace
SAL00026,2023-08-04,STR08,CUS0599,PRD087,EMP045,2,133.05,0.15,226.19,159.94,66.25,Marketplace
SAL00027,2023-12-09,STR17,CUS0142,PRD034,EMP010,2,662.71,0.0,1325.42,759.66,565.76,Retail Store
SAL00028,2022-07-27,STR15,CUS0001,PRD037,EMP041,2,451.39,0.0,902.78,395.6,507.18,Retail Store
SAL00029,2023-06-04,STR04,CUS0430,PRD047,EMP047,2,494.38,0.0,988.76,531.38,457.38,Retail Store
SAL00030,2024-04-22,STR05,CUS0426,PRD044,EMP026,2,87.58,0.05,166.4,104.76,61.64,Marketplace
SAL00031,2024-08-05,STR10,CUS0336,PRD088,EMP047,1,712.62,0.1,641.36,377.5,263.86,Mobile App
SAL00032,2022-08-30,STR04,CUS0421,PRD146,EMP024,4,1041.45,0.15,3540.93,1731.72,1809.21,Retail Store
SAL00033,2024-02-27,STR18,CUS0104,PRD044,EMP048,3,87.58,0.05,249.6,157.14,92.46,Online
SAL00034,2023-05-24,STR07,CUS0117,PRD079,EMP051,1,87.68,0.0,87.68,67.78,19.9,Retail Store
SAL00035,2025-03-03,STR09,CUS0572,PRD053,EMP047,1,115.38,0.0,115.38,55.38,60.0,Online
SAL00036,2025-01-30,STR02,CUS0357,PRD009,EMP006,1,1269.43,0.0,1269.43,526.37,743.06,Marketplace
SAL00037,2023-06-26,STR09,CUS0633,PRD114,EMP010,1,463.43,0.2,370.74,269.37,101.37,Marketplace
SAL00038,2022-05-19,STR03,CUS0690,PRD097,EMP043,1,289.76,0.0,289.76,229.68,60.08,Marketplace
SAL00039,2022-12-06,STR03,CUS0328,PRD121,EMP009,2,335.41,0.0,670.82,397.98,272.84,Retail Store
SAL00040,2022-12-12,STR05,CUS0451,PRD066,EMP032,1,612.55,0.05,581.92,349.06,232.86,Marketplace
SAL00041,2023-11-07,STR14,CUS0510,PRD100,EMP041,3,1039.72,0.15,2651.29,1282.05,1369.24,Online
SAL00042,2023-03-26,STR12,CUS0679,PRD024,EMP025,5,78.8,0.0,394.0,185.1,208.9,Online
SAL00043,2022-12-26,STR16,CUS0287,PRD014,EMP067,3,110.38,0.0,331.14,187.98,143.16,Online
SAL00044,2022-02-01,STR18,CUS0091,PRD131,EMP051,2,294.87,0.0,589.74,364.78,224.96,Online
SAL00045,2023-06-19,STR10,CUS0513,PRD064,EMP063,2,396.23,0.0,792.46,347.34,445.12,Mobile App
SAL00046,2024-12-24,STR07,CUS0751,PRD141,EMP065,1,407.14,0.05,386.78,201.46,185.32,Online
SAL00047,2023-05-23,STR14,CUS0086,PRD149,EMP005,3,741.32,0.0,2223.96,955.62,1268.34,Mobile App
SAL00048,2022-03-27,STR08,CUS0131,PRD008,EMP048,3,315.45,0.1,851.71,680.55,171.16,Online
SAL00049,2024-06-15,STR19,CUS0135,PRD116,EMP057,1,763.65,0.1,687.28,361.75,325.53,Retail Store
SAL00050,2025-07-15,STR15,CUS0783,PRD115,EMP058,3,704.07,0.0,2112.21,999.9,1112.31,Marketplace
SAL00051,2024-01-10,STR02,CUS0412,PRD088,EMP011,3,712.62,0.0,2137.86,1132.5,1005.36,Marketplace
SAL00052,2023-02-01,STR20,CUS0790,PRD108,EMP049,1,615.47,0.0,615.47,267.64,347.83,Retail Store
SAL00053,2024-01-22,STR11,CUS0656,PRD008,EMP002,5,315.45,0.05,1498.39,1134.25,364.14,Marketplace
SAL00054,2024-04-11,STR01,CUS0161,PRD078,EMP014,3,676.26,0.15,1724.46,1222.35,502.11,Marketplace
SAL00055,2024-02-19,STR09,CUS0287,PRD043,EMP013,1,134.93,0.0,134.93,78.58,56.35,Retail Store
SAL00056,2024-07-21,STR17,CUS0161,PRD080,EMP063,2,997.91,0.15,1696.45,904.06,792.39,Online
SAL00057,2022-07-07,STR08,CUS0331,PRD134,EMP072,1,578.6,0.05,549.67,374.33,175.34,Mobile App
SAL00058,2022-08-18,STR08,CUS0439,PRD056,EMP007,3,1182.21,0.0,3546.63,1526.88,2019.75,Retail Store
SAL00059,2024-02-23,STR11,CUS0349,PRD009,EMP005,1,1269.43,0.05,1205.96,526.37,679.59,Retail Store
SAL00060,2022-04-16,STR05,CUS0486,PRD012,EMP015,1,116.58,0.0,116.58,61.16,55.42,Marketplace
SAL00061,2022-10-04,STR08,CUS0229,PRD069,EMP044,1,751.25,0.15,638.56,344.98,293.58,Mobile App
SAL00062,2024-10-04,STR09,CUS0583,PRD041,EMP055,1,317.51,0.2,254.01,136.23,117.78,Online
SAL00063,2023-11-19,STR18,CUS0240,PRD104,EMP054,1,1168.96,0.0,1168.96,501.93,667.03,Mobile App
SAL00064,2022-11-12,STR20,CUS0667,PRD005,EMP046,1,1044.73,0.2,835.78,444.23,391.55,Retail Store
SAL00065,2024-05-08,STR16,CUS0198,PRD034,EMP006,5,662.71,0.05,3147.87,1899.15,1248.72,Marketplace
SAL00066,2024-02-16,STR12,CUS0661,PRD006,EMP043,2,1065.43,0.2,1704.69,868.2,836.49,Retail Store
SAL00067,2025-08-19,STR14,CUS0747,PRD125,EMP061,1,266.76,0.2,213.41,193.28,20.13,Online
SAL00068,2025-04-07,STR18,CUS0140,PRD097,EMP026,3,289.76,0.05,825.82,689.04,136.78,Retail Store
SAL00069,2024-02-08,STR03,CUS0409,PRD108,EMP073,1,615.47,0.2,492.38,267.64,224.74,Mobile App
SAL00070,2023-12-31,STR10,CUS0550,PRD117,EMP033,1,432.95,0.0,432.95,291.82,141.13,Marketplace
SAL00071,2024-09-28,STR09,CUS0635,PRD146,EMP058,3,1041.45,0.1,2811.92,1298.79,1513.13,Online
SAL00072,2022-04-11,STR15,CUS0766,PRD045,EMP076,1,544.23,0.0,544.23,334.71,209.52,Retail Store
SAL00073,2025-06-28,STR20,CUS0540,PRD026,EMP042,2,795.2,0.0,1590.4,850.08,740.32,Retail Store
SAL00074,2023-08-05,STR19,CUS0481,PRD018,EMP079,1,746.19,0.15,634.26,540.07,94.19,Online
SAL00075,2023-06-29,STR03,CUS0456,PRD015,EMP043,1,900.2,0.05,855.19,521.73,333.46,Marketplace
SAL00076,2025-03-30,STR04,CUS0369,PRD084,EMP012,-2,761.49,0.0,1522.98,645.14,877.84,Retail Store
SAL00077,2022-01-29,STR13,CUS0304,PRD019,EMP015,1,718.75,0.0,718.75,317.23,401.52,Retail Store
SAL00078,2023-03-25,STR08,CUS0434,PRD048,EMP075,3,125.89,0.0,377.67,301.71,75.96,Online
SAL00079,2022-01-02,STR14,CUS0506,PRD080,EMP037,2,997.91,0.05,1896.03,904.06,991.97,Retail Store
SAL00080,2023-08-27,STR06,CUS0423,PRD124,EMP034,2,801.35,0.2,1282.16,1058.4,223.76,Mobile App
SAL00081,2025-06-17,STR10,CUS0288,PRD136,EMP070,1,438.89,0.0,438.89,311.71,127.18,Mobile App
SAL00082,2024-01-29,STR15,CUS0551,PRD006,EMP044,3,1065.43,0.15,2716.85,1302.3,1414.55,Mobile App
SAL00083,2023-03-27,STR10,CUS0590,PRD003,EMP070,1,489.13,0.0,489.13,336.36,152.77,Retail Store
SAL00084,2025-02-25,STR20,CUS0031,PRD091,EMP063,1,273.58,0.0,273.58,142.57,131.01,Mobile App
SAL00085,2023-01-11,STR11,CUS0539,PRD013,EMP048,2,523.91,0.0,1047.82,565.98,481.84,Marketplace
SAL00086,2025-01-28,STR12,CUS0258,PRD007,EMP019,1,849.99,0.0,849.99,506.11,343.88,Retail Store
SAL00087,2022-08-15,STR20,CUS0314,PRD066,EMP052,3,612.55,0.1,1653.88,1047.18,606.7,Retail Store
SAL00088,2022-05-09,STR07,CUS0150,PRD091,EMP060,3,273.58,0.0,820.74,427.71,393.03,Online
SAL00089,2025-01-20,STR20,CUS0163,PRD010,EMP071,2,615.01,0.05,1168.52,852.86,315.66,Online
SAL00090,2022-08-09,STR19,CUS0031,PRD058,EMP065,1,94.69,0.0,94.69,50.47,44.22,Online
SAL00091,2024-01-12,STR18,CUS0723,PRD045,EMP062,1,544.23,0.1,489.81,334.71,155.1,Mobile App
SAL00092,2024-05-12,STR05,CUS0738,PRD032,EMP076,2,1029.07,0.1,1852.33,1039.36,812.97,Online
SAL00093,2022-01-08,STR12,CUS0409,PRD105,EMP005,1,351.53,0.0,351.53,208.41,143.12,Mobile App
SAL00094,2024-07-26,STR06,CUS0629,PRD148,EMP023,5,770.6,0.0,3853.0,1611.85,2241.15,Online
SAL00095,2023-01-08,STR01,CUS0563,PRD062,EMP005,2,658.74,0.15,1119.86,825.18,294.68,Mobile App
SAL00096,2025-06-16,STR02,CUS0138,PRD134,EMP006,1,578.6,0.05,549.67,374.33,175.34,Retail Store
SAL00097,2022-12-16,STR10,CUS0004,PRD014,EMP038,2,110.38,0.2,176.61,125.32,51.29,Online
SAL00098,2025-05-13,STR12,CUS0472,PRD135,EMP022,2,570.26,0.2,912.42,624.42,288.0,Mobile App
SAL00099,2024-11-22,STR10,CUS0483,PRD037,EMP076,1,451.39,0.1,406.25,197.8,208.45,Mobile App
SAL00100,2023-06-28,STR10,CUS0153,PRD019,EMP063,3,718.75,0.15,1832.81,951.69,881.12,Online
SAL00101,2024-06-13,STR20,,PRD001,EMP038,2,770.35,0.0,1540.7,842.46,698.24,Mobile App
SAL00102,2024-02-25,STR09,CUS0647,PRD008,EMP036,1,315.45,0.0,315.45,226.85,88.6,Online
SAL00103,2025-07-23,STR07,CUS0784,PRD106,EMP049,2,449.23,0.0,898.46,695.38,203.08,Marketplace
SAL00104,2025-06-29,STR10,CUS0616,PRD137,EMP006,1,891.85,0.0,891.85,481.52,410.33,Mobile App
SAL00105,2024-12-09,STR05,CUS0614,PRD008,EMP039,4,315.45,0.0,1261.8,907.4,354.4,Retail Store
SAL00106,2022-12-29,STR15,CUS0230,PRD072,EMP029,3,727.94,0.2,1747.06,1218.39,528.67,Mobile App
SAL00107,2022-03-19,STR17,CUS0313,PRD139,EMP068,3,240.32,0.05,684.91,490.8,194.11,Mobile App
SAL00108,2024-09-10,STR11,CUS0236,PRD106,EMP058,2,449.23,0.0,898.46,695.38,203.08,Mobile App
SAL00109,2024-10-14,STR04,CUS0358,PRD129,EMP063,1,761.05,0.15,646.89,459.25,187.64,Retail Store
SAL00110,2025-07-26,STR12,CUS0177,PRD053,EMP052,3,115.38,0.1,311.53,166.14,145.39,Marketplace
SAL00111,2022-06-02,STR10,CUS0242,PRD011,EMP044,1,357.41,0.15,303.8,230.98,72.82,Marketplace
