TargetID,Year,Month,Region,SalesTarget,ProfitTarget,QuantityTarget
TGT0001,2023,1,North,231017,90491,2237
TGT0002,2023,1,South,264070,42475,1962
TGT0003,2023,1,East,345011,101034,2380
TGT0004,2023,1,West,380183,98321,3361
TGT0005,2023,2,North,193522,117392,1128
TGT0006,2023,2,South,222420,112062,3340
TGT0007,2023,2,East,202752,99484,937
TGT0008,2023,2,West,278668,64423,921
TGT0009,2023,3,North,522419,65114,1453
TGT0010,2023,3,South,414409,117104,1609
TGT0011,2023,3,East,490727,38986,1351
TGT0012,2023,3,West,272345,78096,824
TGT0013,2023,4,North,501227,105456,2721
TGT0014,2023,4,South,267579,68741,1623
TGT0015,2023,4,East,363779,58945,1545
TGT0016,2023,4,West,207592,50979,1178
TGT0017,2023,5,North,450554,35596,2148
TGT0018,2023,5,South,498970,78676,3308
TGT0019,2023,5,East,267997,135178,1959
TGT0020,2023,5,West,426131,42335,2562
TGT0021,2023,6,North,199636,49632,2771
TGT0022,2023,6,South,260259,87654,1050
TGT0023,2023,6,East,431782,43242,1601
TGT0024,2023,6,West,381141,88140,3278
TGT0025,2023,7,North,250276,97712,1065
TGT0026,2023,7,South,329504,55047,1885
TGT0027,2023,7,East,383813,93859,2870
TGT0028,2023,7,West,224546,77831,2359
TGT0029,2023,8,North,226575,72809,2723
TGT0030,2023,8,South,296329,89545,1485
TGT0031,2023,8,East,369569,132629,1614
TGT0032,2023,8,West,420315,42005,2433
TGT0033,2023,9,North,396187,136533,3414
TGT0034,2023,9,South,336130,56443,1005
TGT0035,2023,9,East,351841,127220,1761
TGT0036,2023,9,West,447032,108172,1749
TGT0037,2023,10,North,230688,123315,1273
TGT0038,2023,10,South,517876,74965,3055
TGT0039,2023,10,East,300043,79099,913
TGT0040,2023,10,West,189408,100388,3338
TGT0041,2023,11,North,337493,112770,1339
TGT0042,2023,11,South,544580,79262,2062
TGT0043,2023,11,East,522606,108214,3296
TGT0044,2023,11,West,244679,97666,1954
TGT0045,2023,12,North,209612,97548,3049
TGT0046,2023,12,South,299160,137426,2897
TGT0047,2023,12,East,386900,48719,1830
TGT0048,2023,12,West,235803,103089,1743
TGT0049,2024,1,North,481797,126600,3214
TGT0050,2024,1,South,525258,47328,2478
TGT0051,2024,1,East,322544,61372,1988
TGT0052,2024,1,West,222203,64376,1124
TGT0053,2024,2,North,425139,41505,1747
TGT0054,2024,2,South,320770,124865,1377
TGT0055,2024,2,East,498776,64536,1604
TGT0056,2024,2,West,380428,127242,2041
TGT0057,2024,3,North,472703,61498,2677
TGT0058,2024,3,South,367163,100294,2920
TGT0059,2024,3,East,500442,53350,3374
TGT0060,2024,3,West,311383,98262,1693
TGT0061,2024,4,North,522603,81356,1819
TGT0062,2024,4,South,291744,92516,3039
TGT0063,2024,4,East,251943,118688,1763
TGT0064,2024,4,West,297621,72851,2959
TGT0065,2024,5,North,492889,128496,2683
TGT0066,2024,5,South,190665,111905,1254
TGT0067,2024,5,East,464012,89977,1312
TGT0068,2024,5,West,186289,65409,3331
TGT0069,2024,6,North,475120,50337,3088
TGT0070,2024,6,South,199617,56598,1521
TGT0071,2024,6,East,479978,53899,1633
TGT0072,2024,6,West,208077,43025,1876
TGT0073,2024,7,North,446135,69664,1318
TGT0074,2024,7,South,430307,39732,1428
TGT0075,2024,7,East,330199,95425,1967
TGT0076,2024,7,West,492567,43585,3468
TGT0077,2024,8,North,427569,125707,1697
TGT0078,2024,8,South,517012,115477,3216
TGT0079,2024,8,East,543460,134516,1148
TGT0080,2024,8,West,464611,107914,1857
TGT0081,2024,9,North,333660,112753,1820
TGT0082,2024,9,South,322973,77322,2289
TGT0083,2024,9,East,342100,90450,1927
TGT0084,2024,9,West,475383,116469,3148
TGT0085,2024,10,North,326475,86194,2313
TGT0086,2024,10,South,522466,95211,3010
TGT0087,2024,10,East,225536,59195,1245
TGT0088,2024,10,West,523320,67353,2200
TGT0089,2024,11,North,289317,106725,2312
TGT0090,2024,11,South,300783,44388,1210
TGT0091,2024,11,East,404580,119535,2962
TGT0092,2024,11,West,352943,124622,3274
TGT0093,2024,12,North,367191,85322,1965
TGT0094,2024,12,South,212418,40955,3223
TGT0095,2024,12,East,348867,74278,1293
TGT0096,2024,12,West,282082,139773,1382
TGT0097,2025,1,North,510454,125171,3334
TGT0098,2025,1,South,341177,91744,3283
TGT0099,2025,1,East,244848,98128,2086
TGT0100,2025,1,West,545001,129069,1142
TGT0101,2025,2,North,489409,121538,3140
TGT0102,2025,2,South,199034,88273,1310
TGT0103,2025,2,East,181527,104232,967
TGT0104,2025,2,West,217419,101520,2324
TGT0105,2025,3,North,506140,118954,1856
TGT0106,2025,3,South,502922,66364,3275
TGT0107,2025,3,East,413818,134864,1265
TGT0108,2025,3,West,365702,118423,1777
TGT0109,2025,4,North,239293,131101,1085
TGT0110,2025,4,South,440394,139942,2998
TGT0111,2025,4,East,498311,66134,2155
TGT0112,2025,4,West,373391,103266,2762
TGT0113,2025,5,North,227606,91175,2233
TGT0114,2025,5,South,419452,57693,1487
TGT0115,2025,5,East,217780,139658,3412
TGT0116,2025,5,West,324332,80646,3496
TGT0117,2025,6,North,487650,54640,2112
TGT0118,2025,6,South,287100,87653,1515
TGT0119,2025,6,East,198256,49493,3495
TGT0120,2025,6,West,218234,71313,2003
TGT0121,2025,7,North,226029,128956,2118
TGT0122,2025,7,South,187337,66494,1401
TGT0123,2025,7,East,268740,85957,2292
TGT0124,2025,7,West,426337,35062,3108
TGT0125,2025,8,North,267152,123032,2997
TGT0126,2025,8,South,191580,103074,2020
TGT0127,2025,8,East,532148,80692,2409
TGT0128,2025,8,West,389264,64185,3039
