OrderID,OrderDate,OrderTime,Product,Category,Quantity,UnitPrice,SalesAmount,PaymentMethod,DayOfWeek
ORD0001,2024-11-23,08:01,Mocha,Coffee,2,4.5,9.0,Cash,Saturday
ORD0002,2024-03-12,18:06,Muffin,Food,1,2.2,2.2,Mobile,Tuesday
ORD0003,2024-08-04,07:01,Cappuccino,Coffee,2,3.5,7.0,Cash,Sunday
ORD0004,2024-09-15,16:01,Muffin,Food,2,2.2,4.4,Mobile,Sunday
ORD0005,2024-11-28,18:34,Tea,Tea,2,2.8,5.6,Card,Thursday
ORD0006,2024-10-28,11:51,Espresso,Coffee,2,2.5,5.0,Mobile,Monday
ORD0007,2024-08-04,12:17,Latte,Coffee,2,4.0,8.0,Card,Sunday
ORD0008,2024-02-22,08:24,Cappuccino,Coffee,3,3.5,10.5,Card,Thursday
ORD0009,2024-11-05,11:51,Espresso,Coffee,4,2.5,10.0,Mobile,Tuesday
ORD0010,2024-03-04,13:05,Muffin,Food,3,2.2,6.6,Mobile,Monday
ORD0011,2024-11-12,20:23,Sandwich,Food,2,5.5,11.0,Mobile,Tuesday
ORD0012,2024-02-05,07:42,Americano,Coffee,3,3.0,9.0,Cash,Monday
ORD0013,2024-04-29,20:06,Tea,Tea,3,2.8,8.4,Card,Monday
ORD0014,2024-11-21,20:23,Latte,Coffee,3,4.0,12.0,Card,Thursday
ORD0015,2024-04-17,17:17,Cappuccino,Coffee,2,3.5,7.0,Mobile,Wednesday
ORD0016,2024-05-05,09:29,Tea,Tea,3,2.8,8.4,Mobile,Sunday
ORD0017,2024-12-18,15:14,Cold Brew,Coffee,1,3.8,3.8,Cash,Wednesday
ORD0018,2024-01-17,19:20,Tea,Tea,3,2.8,8.4,Cash,Wednesday
ORD0019,2024-04-18,16:56,Cold Brew,Coffee,2,3.8,7.6,Mobile,Thursday
ORD0020,2024-09-12,13:56,Croissant,Food,2,2.5,5.0,Card,Thursday
ORD0021,2024-03-12,10:47,Muffin,Food,3,2.2,6.6,Mobile,Tuesday
ORD0022,2024-10-26,13:57,Sandwich,Food,4,5.5,22.0,Card,Saturday
ORD0023,2024-04-22,09:32,Croissant,Food,1,2.5,2.5,Cash,Monday
ORD0024,2024-02-26,09:40,Latte,Coffee,4,4.0,16.0,Mobile,Monday
ORD0025,2024-02-02,13:24,Sandwich,Food,4,5.5,22.0,Mobile,Friday
ORD0026,2024-05-08,15:55,Espresso,Coffee,1,2.5,2.5,Mobile,Wednesday
ORD0027,2024-10-01,19:17,Cold Brew,Coffee,1,3.8,3.8,Card,Tuesday
ORD0028,2024-08-10,09:29,Espresso,Coffee,3,2.5,7.5,Mobile,Saturday
ORD0029,2024-04-01,15:58,Cappuccino,Coffee,3,3.5,10.5,Mobile,Monday
ORD0030,2024-09-16,16:12,Latte,Coffee,3,4.0,12.0,Cash,Monday
ORD0031,2024-10-03,19:59,Muffin,Food,1,2.2,2.2,Mobile,Thursday
ORD0032,2024-06-14,14:01,Cappuccino,Coffee,3,3.5,10.5,Card,Friday
ORD0033,2024-05-02,07:15,Sandwich,Food,1,5.5,5.5,Cash,Thursday
ORD0034,2024-09-05,20:04,Muffin,Food,2,2.2,4.4,Cash,Thursday
ORD0035,2024-12-03,14:35,Latte,Coffee,3,4.0,12.0,Mobile,Tuesday
ORD0036,2024-11-06,13:13,Muffin,Food,2,2.2,4.4,Mobile,Wednesday
ORD0037,2024-06-08,13:42,Cold Brew,Coffee,4,3.8,15.2,Mobile,Saturday
ORD0038,2024-08-19,08:15,Americano,Coffee,1,3.0,3.0,Card,Monday
ORD0039,2024-01-11,16:35,Americano,Coffee,2,3.0,6.0,Cash,Thursday
ORD0040,2024-02-06,18:40,Espresso,Coffee,2,2.5,5.0,Cash,Tuesday
ORD0041,2024-01-17,20:21,Cappuccino,Coffee,2,3.5,7.0,Card,Wednesday
ORD0042,2024-12-08,14:13,Muffin,Food,2,2.2,4.4,Mobile,Sunday
ORD0043,2024-10-19,16:30,Americano,Coffee,4,3.0,12.0,Card,Saturday
ORD0044,2024-04-07,08:06,Tea,Tea,3,2.8,8.4,Card,Sunday
ORD0045,2024-07-29,14:55,Espresso,Coffee,1,2.5,2.5,Cash,Monday
