SalesID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesAmount
S0001,2024-06-02,C058,P403,3,21.05,0.0,63.15
S0002,2024-11-27,C015,P101,1,69.16,0.0,69.16
S0003,2024-03-30,C022,P102,2,36.5,0.1,65.7
S0004,2024-08-06,C021,P303,3,86.95,0.1,234.77
S0005,2024-04-05,C030,P302,4,74.62,0.0,298.48
S0006,2024-11-10,C056,P402,4,37.5,0.0,150.0
S0007,2024-07-18,C058,P201,5,85.48,0.05,406.03
S0008,2024-12-26,C028,P101,2,69.16,0.0,138.32
S0009,2024-04-05,C074,P102,1,36.5,0.1,32.85
S0010,2024-02-28,C042,P203,2,33.07,0.05,62.83
S0011,2024-11-01,C063,P202,5,83.85,0.0,419.25
S0012,2024-02-28,C079,P301,4,33.93,0.1,122.15
S0013,2024-03-29,C046,P203,4,33.07,0.1,119.05
S0014,2024-02-13,C039,P402,5,37.5,0.1,168.75
S0015,2024-05-02,C018,P402,3,37.5,0.0,112.5
S0016,2024-12-21,C015,P202,2,83.85,0.0,167.7
S0017,2024-11-01,C066,P103,4,67.34,0.05,255.89
S0018,2024-04-05,C074,P103,4,67.34,0.05,255.89
S0019,2024-03-26,C069,P302,2,74.62,0.1,134.32
S0020,2024-06-10,C037,P302,2,74.62,0.0,149.24
S0021,2024-01-05,C080,P302,1,74.62,0.0,74.62
S0022,2024-10-14,C018,P302,2,74.62,0.05,141.78
S0023,2024-07-31,C064,P303,4,86.95,0.05,330.41
S0024,2024-02-12,C057,P403,4,21.05,0.0,84.2
S0025,2024-01-17,C004,P401,2,33.24,0.0,66.48
S0026,2024-03-27,C029,P202,5,83.85,0.0,419.25
S0027,2024-09-18,C073,P302,4,74.62,0.1,268.63
S0028,2024-10-05,C074,P102,1,36.5,0.0,36.5
S0029,2024-10-06,C070,P203,1,33.07,0.05,31.42
S0030,2024-06-01,C055,P201,1,85.48,0.0,85.48
S0031,2024-02-14,C058,P101,3,69.16,0.0,207.48
S0032,2024-10-28,C016,P302,2,74.62,0.0,149.24
S0033,2024-03-25,C045,P403,5,21.05,0.05,99.99
S0034,2024-01-31,C018,P401,2,33.24,0.0,66.48
S0035,2024-11-01,C045,P401,5,33.24,0.0,166.2
S0036,2024-05-28,C022,P303,3,86.95,0.0,260.85
S0037,2024-03-10,C035,P401,5,33.24,0.0,166.2
S0038,2024-12-25,C008,P301,3,33.93,0.0,101.79
S0039,2024-05-06,C032,P103,2,67.34,0.0,134.68
S0040,2024-10-22,C051,P402,4,37.5,0.0,150.0
S0041,2024-08-19,C035,P402,4,37.5,0.05,142.5
S0042,2024-05-22,C012,P102,4,36.5,0.1,131.4
S0043,2024-06-16,C048,P403,4,21.05,0.05,79.99
S0044,2024-11-21,C001,P401,1,33.24,0.05,31.58
S0045,2024-07-22,C046,P402,1,37.5,0.1,33.75
S0046,2024-05-17,C055,P201,2,85.48,0.05,162.41
