Date,Year,Quarter,Month,MonthName,MonthShort,Week,Day,DayName,IsWeekend
2023-01-01,2023,1,1,January,Jan,52,1,Sunday,1
2023-01-02,2023,1,1,January,Jan,1,2,Monday,0
2023-01-03,2023,1,1,January,Jan,1,3,Tuesday,0
2023-01-04,2023,1,1,January,Jan,1,4,Wednesday,0
2023-01-05,2023,1,1,January,Jan,1,5,Thursday,0
2023-01-06,2023,1,1,January,Jan,1,6,Friday,0
2023-01-07,2023,1,1,January,Jan,1,7,Saturday,1
2023-01-08,2023,1,1,January,Jan,1,8,Sunday,1
2023-01-09,2023,1,1,January,Jan,2,9,Monday,0
2023-01-10,2023,1,1,January,Jan,2,10,Tuesday,0
2023-01-11,2023,1,1,January,Jan,2,11,Wednesday,0
2023-01-12,2023,1,1,January,Jan,2,12,Thursday,0
2023-01-13,2023,1,1,January,Jan,2,13,Friday,0
2023-01-14,2023,1,1,January,Jan,2,14,Saturday,1
2023-01-15,2023,1,1,January,Jan,2,15,Sunday,1
2023-01-16,2023,1,1,January,Jan,3,16,Monday,0
2023-01-17,2023,1,1,January,Jan,3,17,Tuesday,0
2023-01-18,2023,1,1,January,Jan,3,18,Wednesday,0
2023-01-19,2023,1,1,January,Jan,3,19,Thursday,0
2023-01-20,2023,1,1,January,Jan,3,20,Friday,0
2023-01-21,2023,1,1,January,Jan,3,21,Saturday,1
2023-01-22,2023,1,1,January,Jan,3,22,Sunday,1
2023-01-23,2023,1,1,January,Jan,4,23,Monday,0
2023-01-24,2023,1,1,January,Jan,4,24,Tuesday,0
2023-01-25,2023,1,1,January,Jan,4,25,Wednesday,0
2023-01-26,2023,1,1,January,Jan,4,26,Thursday,0
2023-01-27,2023,1,1,January,Jan,4,27,Friday,0
2023-01-28,2023,1,1,January,Jan,4,28,Saturday,1
2023-01-29,2023,1,1,January,Jan,4,29,Sunday,1
2023-01-30,2023,1,1,January,Jan,5,30,Monday,0
2023-01-31,2023,1,1,January,Jan,5,31,Tuesday,0
2023-02-01,2023,1,2,February,Feb,5,1,Wednesday,0
2023-02-02,2023,1,2,February,Feb,5,2,Thursday,0
2023-02-03,2023,1,2,February,Feb,5,3,Friday,0
2023-02-04,2023,1,2,February,Feb,5,4,Saturday,1
2023-02-05,2023,1,2,February,Feb,5,5,Sunday,1
2023-02-06,2023,1,2,February,Feb,6,6,Monday,0
2023-02-07,2023,1,2,February,Feb,6,7,Tuesday,0
2023-02-08,2023,1,2,February,Feb,6,8,Wednesday,0
2023-02-09,2023,1,2,February,Feb,6,9,Thursday,0
2023-02-10,2023,1,2,February,Feb,6,10,Friday,0
2023-02-11,2023,1,2,February,Feb,6,11,Saturday,1
2023-02-12,2023,1,2,February,Feb,6,12,Sunday,1
2023-02-13,2023,1,2,February,Feb,7,13,Monday,0
2023-02-14,2023,1,2,February,Feb,7,14,Tuesday,0
2023-02-15,2023,1,2,February,Feb,7,15,Wednesday,0
2023-02-16,2023,1,2,February,Feb,7,16,Thursday,0
2023-02-17,2023,1,2,February,Feb,7,17,Friday,0
2023-02-18,2023,1,2,February,Feb,7,18,Saturday,1
2023-02-19,2023,1,2,February,Feb,7,19,Sunday,1
2023-02-20,2023,1,2,February,Feb,8,20,Monday,0
2023-02-21,2023,1,2,February,Feb,8,21,Tuesday,0
2023-02-22,2023,1,2,February,Feb,8,22,Wednesday,0
2023-02-23,2023,1,2,February,Feb,8,23,Thursday,0
2023-02-24,2023,1,2,February,Feb,8,24,Friday,0
2023-02-25,2023,1,2,February,Feb,8,25,Saturday,1
2023-02-26,2023,1,2,February,Feb,8,26,Sunday,1
2023-02-27,2023,1,2,February,Feb,9,27,Monday,0
2023-02-28,2023,1,2,February,Feb,9,28,Tuesday,0
2023-03-01,2023,1,3,March,Mar,9,1,Wednesday,0
2023-03-02,2023,1,3,March,Mar,9,2,Thursday,0
2023-03-03,2023,1,3,March,Mar,9,3,Friday,0
2023-03-04,2023,1,3,March,Mar,9,4,Saturday,1
2023-03-05,2023,1,3,March,Mar,9,5,Sunday,1
2023-03-06,2023,1,3,March,Mar,10,6,Monday,0
2023-03-07,2023,1,3,March,Mar,10,7,Tuesday,0
2023-03-08,2023,1,3,March,Mar,10,8,Wednesday,0
2023-03-09,2023,1,3,March,Mar,10,9,Thursday,0
2023-03-10,2023,1,3,March,Mar,10,10,Friday,0
2023-03-11,2023,1,3,March,Mar,10,11,Saturday,1
2023-03-12,2023,1,3,March,Mar,10,12,Sunday,1
2023-03-13,2023,1,3,March,Mar,11,13,Monday,0
2023-03-14,2023,1,3,March,Mar,11,14,Tuesday,0
2023-03-15,2023,1,3,March,Mar,11,15,Wednesday,0
