ProductID,ProductName,Category,Brand,UnitPrice
PRD001,Pulse Past ,Fashion,Aether,246.2
PRD002,Pulse Other ,Home,Pulse,243.82
PRD003,Aether Necessary Pro,Electronics,Pulse,186.75
PRD004,Zenith Four ,Fashion,Zenith,86.63
PRD005,Pulse Worry Lite,Sports,Aether,35.21
PRD006,Nova Every Pro,Home,Pulse,149.92
PRD007,Aether Democratic ,Sports,Pulse,126.34
PRD008,Zenith Relationship Max,Sports,Pulse,168.52
PRD009,Nova Sense Max,Sports,Zenith,126.96
PRD010,Nova Former Pro,Home,Aether,287.73
PRD011,Aether Edge Max,Sports,Aether,94.78
PRD012,Aether Evidence ,Electronics,Zenith,236.48
PRD013,Pulse Individual Max,Fashion,Pulse,107.72
PRD014,Nova Catch Pro,Electronics,Nova,135.15
PRD015,Zenith Remain Max,Electronics,Pulse,223.07
PRD016,Pulse Quite Pro,Home,Nova,193.43
PRD017,Pulse First Pro,Electronics,Nova,44.19
PRD018,Zenith Lot Lite,Fashion,Nova,214.78
PRD019,Aether Four ,Home,Nova,198.86
PRD020,Zenith Woman Max,Home,Aether,65.35
PRD021,Aether Society Pro,Electronics,Zenith,128.81
PRD022,Aether Would Max,Electronics,Pulse,143.36
PRD023,Pulse Baby ,Sports,Pulse,200.74
PRD024,Pulse Act ,Electronics,Pulse,191.91
PRD025,Zenith Low Max,Electronics,Nova,29.76
PRD026,Aether Pretty ,Electronics,Nova,271.02
PRD027,Nova Order Pro,Fashion,Zenith,94.6
PRD028,Zenith Black Pro,Home,Zenith,153.88
PRD029,Nova Back Lite,Sports,Nova,127.64
PRD030,Nova Note Max,Sports,Aether,210.91
