OrderID,OrderDate,ProductID,Quantity,UnitPrice,SalesAmount,Channel,Region
ORD00001,2023-06-05,PRD013,1,107.72,107.72,Marketplace,North
ORD00002,2023-07-13,PRD012,3,236.48,709.44,Website,West
ORD00003,2024-11-12,PRD025,3,29.76,89.28,Marketplace,South
ORD00004,2024-10-05,PRD006,1,149.92,149.92,Mobile App,South
ORD00005,2024-10-03,PRD010,4,287.73,1150.92,Website,East
ORD00006,2023-09-27,PRD016,1,193.43,193.43,Marketplace,West
ORD00007,2023-04-26,PRD024,2,191.91,383.82,Website,North
ORD00008,2024-08-31,PRD007,1,126.34,126.34,Marketplace,South
ORD00009,2024-05-28,PRD016,4,193.43,773.72,Website,East
ORD00010,2024-03-22,PRD016,4,193.43,773.72,Website,North
ORD00011,2024-12-21,PRD011,1,94.78,94.78,Mobile App,North
ORD00012,2024-04-22,PRD013,1,107.72,107.72,Website,West
ORD00013,2023-01-06,PRD022,2,143.36,286.72,Marketplace,South
ORD00014,2024-08-19,PRD030,1,210.91,210.91,Website,South
ORD00015,2023-08-07,PRD016,1,193.43,193.43,Mobile App,North
ORD00016,2024-04-29,PRD008,2,168.52,337.04,Website,South
ORD00017,2024-11-16,PRD021,1,128.81,128.81,Mobile App,North
ORD00018,2023-04-09,PRD015,2,223.07,446.14,Marketplace,North
ORD00019,2023-03-26,PRD027,1,94.6,94.6,Website,West
ORD00020,2023-03-20,PRD020,2,65.35,130.7,Website,South
ORD00021,2024-02-08,PRD014,3,135.15,405.45,Marketplace,West
ORD00022,2023-07-18,PRD011,1,94.78,94.78,Marketplace,South
ORD00023,2024-03-17,PRD011,2,94.78,189.56,Website,South
ORD00024,2024-06-07,PRD011,1,94.78,94.78,Website,East
ORD00025,2023-05-29,PRD005,4,35.21,140.84,Website,East
ORD00026,2024-04-07,PRD018,2,214.78,429.56,Mobile App,South
ORD00027,2023-07-12,PRD030,1,210.91,210.91,Website,North
ORD00028,2023-12-23,PRD026,4,271.02,1084.08,Website,North
ORD00029,2024-10-22,PRD029,4,127.64,510.56,Website,North
ORD00030,2024-09-09,PRD001,2,246.2,492.4,Website,East
ORD00031,2023-03-09,PRD014,4,135.15,540.6,Marketplace,South
ORD00032,2023-11-06,PRD007,2,126.34,252.68,Marketplace,East
ORD00033,2023-07-21,PRD017,4,44.19,176.76,Mobile App,South
ORD00034,2023-01-03,PRD006,1,149.92,149.92,Marketplace,South
ORD00035,2024-07-16,PRD023,4,200.74,802.96,Marketplace,North
ORD00036,2024-04-10,PRD021,3,128.81,386.43,Mobile App,West
ORD00037,2023-07-11,PRD001,2,246.2,492.4,Website,North
ORD00038,2024-06-25,PRD017,1,44.19,44.19,Marketplace,East
ORD00039,2024-02-07,PRD028,2,153.88,307.76,Mobile App,South
ORD00040,2023-11-09,PRD009,1,126.96,126.96,Website,North
ORD00041,2023-01-08,PRD026,2,271.02,542.04,Marketplace,West
ORD00042,2023-02-24,PRD016,2,193.43,386.86,Website,North
ORD00043,2024-10-06,PRD002,3,243.82,731.46,Mobile App,South
ORD00044,2024-10-21,PRD014,3,135.15,405.45,Mobile App,West
ORD00045,2024-02-03,PRD002,1,243.82,243.82,Marketplace,North
ORD00046,2024-09-01,PRD030,2,210.91,421.82,Website,North
ORD00047,2024-03-01,PRD016,1,193.43,193.43,Website,South
ORD00048,2023-04-19,PRD024,4,191.91,767.64,Marketplace,East
ORD00049,2023-04-04,PRD014,2,135.15,270.3,Marketplace,East
ORD00050,2023-08-14,PRD008,1,168.52,168.52,Mobile App,South
ORD00051,2024-10-18,PRD004,2,86.63,173.26,Marketplace,West
ORD00052,2024-08-04,PRD028,2,153.88,307.76,Mobile App,South
ORD00053,2024-09-20,PRD003,4,186.75,747.0,Marketplace,West
ORD00054,2024-10-18,PRD002,4,243.82,975.28,Website,South
ORD00055,2023-06-03,PRD030,4,210.91,843.64,Website,West
ORD00056,2023-07-02,PRD012,2,236.48,472.96,Mobile App,South
ORD00057,2023-03-17,PRD021,3,128.81,386.43,Mobile App,South
ORD00058,2024-07-23,PRD011,2,94.78,189.56,Website,North
ORD00059,2024-10-07,PRD009,2,126.96,253.92,Website,West
ORD00060,2023-10-24,PRD015,4,223.07,892.28,Website,East
ORD00061,2024-03-29,PRD008,3,168.52,505.56,Marketplace,South
ORD00062,2023-04-23,PRD026,2,271.02,542.04,Marketplace,South
ORD00063,2024-11-09,PRD003,4,186.75,747.0,Marketplace,West
ORD00064,2024-09-23,PRD028,2,153.88,307.76,Marketplace,West
ORD00065,2024-12-13,PRD027,4,94.6,378.4,Mobile App,North
ORD00066,2024-08-14,PRD024,4,191.91,767.64,Marketplace,South
ORD00067,2024-10-05,PRD008,3,168.52,505.56,Mobile App,South
ORD00068,2023-01-19,PRD029,2,127.64,255.28,Marketplace,North
ORD00069,2024-06-21,PRD014,1,135.15,135.15,Website,West
ORD00070,2023-08-31,PRD024,1,191.91,191.91,Mobile App,West
ORD00071,2024-11-10,PRD016,1,193.43,193.43,Mobile App,West
ORD00072,2024-08-08,PRD008,1,168.52,168.52,Marketplace,North
ORD00073,2024-09-22,PRD023,4,200.74,802.96,Website,South
ORD00074,2024-08-14,PRD012,3,236.48,709.44,Website,North
ORD00075,2023-07-14,PRD001,4,246.2,984.8,Marketplace,East
ORD00076,2024-07-28,PRD006,4,149.92,599.68,Marketplace,North
ORD00077,2023-03-20,PRD015,4,223.07,892.28,Website,West
ORD00078,2024-09-28,PRD006,3,149.92,449.76,Marketplace,West
ORD00079,2024-09-18,PRD023,1,200.74,200.74,Marketplace,North
ORD00080,2023-06-12,PRD013,3,107.72,323.16,Marketplace,North
