SalesID,OrderDate,StoreID,CustomerID,ProductID,Quantity,UnitPrice,DiscountPct,SalesAmount,CostAmount
S00001,2025-02-14,ST06,C0198,P038,6,124.25,0.15,633.67,335.22
S00002,2024-12-03,ST02,C0174,P039,5,108.79,0.0,543.95,133.25
S00003,2024-05-31,ST08,C0082,P047,3,84.64,0.15,215.83,72.81
S00004,2023-06-15,ST08,C0095,P031,3,145.67,0.05,415.16,38.82
S00005,2023-10-17,ST04,C0140,P021,2,130.5,0.1,234.9,41.1
S00006,2025-01-06,ST06,C0011,P011,4,96.17,0.05,365.45,183.0
S00007,2024-07-10,ST07,C0084,P030,4,128.97,0.05,490.09,54.44
S00008,2024-08-05,ST03,C0040,P029,6,106.78,0.05,608.65,319.56
S00009,2023-04-05,ST03,C0007,P027,3,121.52,0.05,346.33,40.23
S00010,2024-03-28,ST07,C0039,P041,3,102.52,0.0,307.56,133.05
S00011,2023-10-29,ST03,C0170,P028,2,93.53,0.1,168.35,79.1
S00012,2023-03-12,ST02,C0056,P012,1,107.39,0.05,102.02,31.06
S00013,2023-11-12,ST05,C0039,P031,3,145.67,0.0,437.01,38.82
S00014,2023-10-19,ST07,C0128,P002,2,87.83,0.0,175.66,56.54
S00015,2024-08-02,ST04,C0072,P036,2,23.33,0.05,44.33,85.58
S00016,2025-05-27,ST08,C0186,P039,4,108.79,0.05,413.4,106.6
S00017,2025-01-18,ST01,C0125,P011,3,96.17,0.0,288.51,137.25
S00018,2024-09-02,ST08,C0083,P005,5,99.71,0.0,498.55,280.0
S00019,2024-10-26,ST08,C0061,P010,2,55.91,0.05,106.23,116.18
S00020,2023-11-02,ST05,C0004,P032,6,112.21,0.0,673.26,229.02
S00021,2023-01-11,ST05,C0162,P022,6,102.95,0.1,555.93,179.58
S00022,2023-07-11,ST02,C0157,P028,5,93.53,0.0,467.65,197.75
S00023,2024-09-23,ST06,C0073,P034,6,77.23,0.0,463.38,249.9
S00024,2023-11-16,ST06,C0033,P045,5,128.71,0.05,611.37,232.35
S00025,2024-12-17,ST08,C0005,P005,3,99.71,0.05,284.17,168.0
S00026,2024-10-18,ST06,C0054,P016,6,134.43,0.0,806.58,95.94
S00027,2023-02-13,ST08,C0163,P021,3,130.5,0.1,352.35,61.65
S00028,2024-02-04,ST06,C0148,P022,6,102.95,0.0,617.7,179.58
S00029,2024-01-18,ST04,C0083,P009,6,128.46,0.1,693.68,108.36
S00030,2023-06-01,ST04,C0061,P040,4,121.88,0.1,438.77,89.52
S00031,2024-01-13,ST06,C0005,P031,5,145.67,0.0,728.35,64.7
S00032,2025-03-14,ST03,C0193,P025,5,112.7,0.0,563.5,43.35
S00033,2023-11-16,ST08,C0136,P006,4,38.24,0.1,137.66,189.08
S00034,2023-12-08,ST02,C0069,P047,4,84.64,0.05,321.63,97.08
S00035,2025-01-25,ST05,C0050,P050,6,61.96,0.0,371.76,347.28
S00036,2024-12-19,ST01,C0200,P024,4,52.66,0.0,210.64,170.72
S00037,2024-06-10,ST01,C0163,P015,3,36.23,0.0,108.69,70.62
S00038,2024-11-21,ST03,C0124,P040,3,121.88,0.0,365.64,67.14
S00039,2023-07-25,ST04,C0081,P032,6,112.21,0.0,673.26,229.02
S00040,2024-02-16,ST02,C0155,P039,3,108.79,0.15,277.41,79.95
S00041,2024-12-29,ST04,C0189,P004,5,112.08,0.1,504.36,59.45
S00042,2023-01-31,ST07,C0064,P019,4,49.2,0.15,167.28,189.76
S00043,2023-01-19,ST05,C0077,P001,2,144.68,0.0,289.36,44.96
S00044,2023-08-26,ST01,C0007,P019,6,49.2,0.15,250.92,284.64
S00045,2023-04-06,ST02,C0108,P049,3,76.91,0.05,219.19,76.56
S00046,2023-11-08,ST08,C0038,P050,6,61.96,0.05,353.17,347.28
S00047,2025-03-19,ST08,C0041,P036,3,23.33,0.0,69.99,128.37
S00048,2023-05-27,ST05,C0117,P018,2,75.37,0.15,128.13,81.2
S00049,2023-03-10,ST05,C0117,P039,2,108.79,0.1,195.82,53.3
S00050,2025-05-08,ST01,C0083,P009,1,128.46,0.0,128.46,18.06
S00051,2025-06-09,ST08,C0142,P021,3,130.5,0.0,391.5,61.65
S00052,2023-11-04,ST07,C0185,P021,5,130.5,0.0,652.5,102.75
S00053,2025-06-16,ST06,C0112,P041,4,102.52,0.0,410.08,177.4
S00054,2025-03-24,ST01,C0157,P021,6,130.5,0.0,783.0,123.3
S00055,2024-10-03,ST01,C0145,P021,5,130.5,0.0,652.5,102.75
S00056,2024-01-28,ST03,C0184,P047,4,84.64,0.0,338.56,97.08
S00057,2024-08-18,ST03,C0036,P005,1,99.71,0.1,89.74,56.0
S00058,2024-07-07,ST04,C0183,P011,1,96.17,0.0,96.17,45.75
S00059,2024-01-31,ST02,C0087,P023,4,103.23,0.0,412.92,220.2
S00060,2023-02-18,ST08,C0018,P049,4,76.91,0.1,276.88,102.08
S00061,2023-10-29,ST07,C0135,P004,6,112.08,0.05,638.86,71.34
S00062,2025-06-06,ST02,C0040,P045,2,128.71,0.05,244.55,92.94
S00063,2024-01-08,ST05,C0030,P011,2,96.17,0.0,192.34,91.5
S00064,2024-05-19,ST01,C0166,P004,1,112.08,0.15,95.27,11.89
S00065,2025-04-23,ST08,C0058,P045,1,128.71,0.0,128.71,46.47
S00066,2024-05-07,ST04,C0195,P015,2,36.23,0.0,72.46,47.08
S00067,2024-08-24,ST06,C0082,P033,4,113.38,0.15,385.49,201.56
S00068,2023-09-28,ST01,C0102,P043,5,121.53,0.0,607.65,235.85
S00069,2023-03-29,ST07,C0007,P032,5,112.21,0.0,561.05,190.85
S00070,2023-12-24,ST01,C0052,P003,2,37.7,0.0,75.4,64.68
S00071,2024-05-15,ST01,C0126,P038,3,124.25,0.15,316.84,167.61
S00072,2024-03-23,ST06,C0149,P006,5,38.24,0.0,191.2,236.35
S00073,2023-02-19,ST03,C0055,P026,5,48.78,0.0,243.9,192.3
S00074,2023-01-04,ST05,C0191,P041,3,102.52,0.1,276.8,133.05
S00075,2023-03-21,ST07,C0131,P024,2,52.66,0.0,105.32,85.36
S00076,2025-01-20,ST05,C0156,P049,3,76.91,0.0,230.73,76.56
S00077,2024-07-23,ST07,C0067,P021,1,130.5,0.15,110.92,20.55
S00078,2024-03-13,ST01,C0116,P019,4,49.2,0.1,177.12,189.76
S00079,2023-03-30,ST07,C0172,P042,2,132.25,0.0,264.5,74.08
S00080,2023-07-08,ST07,C0011,P008,1,103.99,0.15,88.39,48.89
S00081,2024-08-04,ST05,C0052,P014,6,97.8,0.15,498.78,288.78
S00082,2025-06-09,ST05,C0152,P014,3,97.8,0.05,278.73,144.39
S00083,2024-03-07,ST04,C0166,P004,5,112.08,0.0,560.4,59.45
S00084,2023-04-16,ST01,C0131,P014,3,97.8,0.0,293.4,144.39
S00085,2024-12-16,ST06,C0047,P014,2,97.8,0.05,185.82,96.26
S00086,2024-03-05,ST06,C0100,P047,4,84.64,0.05,321.63,97.08
S00087,2025-03-26,ST03,C0193,P039,4,108.79,0.05,413.4,106.6
S00088,2023-08-30,ST05,C0153,P036,6,23.33,0.0,139.98,256.74
S00089,2024-08-07,ST02,C0158,P005,1,99.71,0.0,99.71,56.0
