ProductID,ProductName,Category,Brand,UnitCost,UnitPrice,ProductStatus
PRD001,Pulse Phone 1,Phones,Volt,373.76,769.25,Active
PRD002,Pulse Accessorie 2,Accessories,Volt,347.39,528.99,Active
PRD003,Aero Accessorie 3,Accessories,Nexus,234.76,460.37,Discontinued
PRD004,Pulse Phone 4,Phones,Aero,131.19,277.55,Active
PRD005,Aero Gaming 5,Gaming,Orbit,174.49,245.1,Active
PRD006,Pulse Laptop 6,Laptops,Nexus,206.75,365.95,Active
PRD007,Nexus Laptop 7,Laptops,Aero,173.78,297.96,Active
PRD008,Nexus Gaming 8,Gaming,Nexus,256.57,439.89,Active
PRD009,Orbit Gaming 9,Gaming,Aero,227.99,337.72,Active
PRD010,Aero Audio 10,Audio,Pulse,163.43,307.16,Active
PRD011,Aero Phone 11,Phones,Volt,205.91,450.62,Active
PRD012,Nexus Gaming 12,Gaming,Nexus,387.01,580.87,Active
PRD013,Pulse Laptop 13,Laptops,Orbit,151.83,332.19,Active
PRD014,Aero Laptop 14,Laptops,Aero,320.0,469.29,Active
PRD015,Orbit Laptop 15,Laptops,Pulse,183.65,339.66,Active
PRD016,Aero Gaming 16,Gaming,Pulse,261.92,565.24,Active
PRD017,Pulse Laptop 17,Laptops,Pulse,47.35,86.4,Active
PRD018,Aero Accessorie 18,Accessories,Volt,337.92,703.6,Active
PRD019,Pulse Phone 19,Phones,Aero,279.33,404.77,Active
PRD020,Orbit Gaming 20,Gaming,Pulse,76.2,144.97,Active
PRD021,Orbit Audio 21,Audio,Aero,388.69,732.57,Active
PRD022,Pulse Laptop 22,Laptops,Pulse,315.68,447.25,Active
PRD023,Orbit Laptop 23,Laptops,Nexus,224.72,336.46,Active
PRD024,Pulse Phone 24,Phones,Pulse,336.53,582.46,Active
PRD025,Orbit Accessorie 25,Accessories,Volt,254.79,395.29,Discontinued
PRD026,Orbit Gaming 26,Gaming,Orbit,248.69,434.62,Active
PRD027,Aero Phone 27,Phones,Volt,84.52,167.97,Active
PRD028,Pulse Audio 28,,Orbit,81.77,167.14,Discontinued
PRD029,Pulse Phone 29,Phones,Orbit,170.8,318.8,Active
PRD030,Pulse Gaming 30,Gaming,Pulse,240.04,396.17,Discontinued
PRD031,Nexus Accessorie 31,Accessories,Nexus,311.8,607.09,Active
PRD032,Orbit Phone 32,,Volt,326.53,570.78,Active
PRD033,Pulse Laptop 33,Laptops,Pulse,57.52,82.66,Active
PRD034,Aero Gaming 34,Gaming,Nexus,291.79,539.68,Active
PRD035,Nexus Audio 35,Audio,Volt,147.39,285.91,Active
PRD036,Orbit Laptop 36,Laptops,Pulse,315.24,638.05,Active
PRD037,Nexus Gaming 37,Gaming,Volt,49.29,72.87,Active
PRD038,Pulse Audio 38,Audio,Orbit,383.18,588.04,Active
PRD039,Aero Accessorie 39,Accessories,Pulse,176.25,267.3,Active
PRD040,Aero Audio 40,Audio,Pulse,56.81,107.82,Active
PRD041,Orbit Gaming 41,Gaming,Orbit,248.09,500.06,Active
PRD042,Nexus Gaming 42,Gaming,Orbit,102.36,213.13,Active
PRD043,Pulse Audio 43,Audio,Nexus,54.96,108.59,Active
PRD044,Orbit Laptop 44,Laptops,Pulse,57.19,125.25,Discontinued
PRD045,Orbit Accessorie 45,Accessories,Pulse,34.38,74.57,Active
PRD046,Aero Accessorie 46,Accessories,Aero,349.25,533.74,Discontinued
PRD047,Pulse Audio 47,Audio,Pulse,300.2,470.23,Active
PRD048,Orbit Gaming 48,Gaming,Pulse,45.9,65.44,Discontinued
PRD049,Pulse Phone 49,Phones,Nexus,243.87,535.39,Active
PRD050,Pulse Gaming 50,Gaming,Aero,202.54,289.93,Active
PRD051,Aero Gaming 51,Gaming,Pulse,224.16,428.0,Active
PRD052,Nexus Accessorie 52,Accessories,Volt,393.19,660.22,Active
PRD053,Aero Accessorie 53,Accessories,Volt,79.48,139.83,Active
PRD054,Orbit Audio 54,Audio,Nexus,80.96,167.08,Active
PRD055,Orbit Phone 55,Phones,Pulse,211.32,402.22,Active
PRD056,Nexus Phone 56,Phones,Nexus,261.14,434.96,Active
PRD057,Nexus Laptop 57,Laptops,Aero,36.78,52.44,Active
PRD058,Nexus Audio 58,Audio,Pulse,284.8,428.07,Active
PRD059,Aero Phone 59,Phones,Pulse,285.33,494.95,Discontinued
PRD060,Nexus Phone 60,Phones,Aero,77.73,118.37,Active
PRD061,Pulse Phone 61,Phones,Nexus,31.04,60.41,Active
PRD062,Orbit Audio 62,Audio,Nexus,103.07,210.83,Active
PRD063,Pulse Accessorie 63,Accessories,Volt,313.98,447.14,Active
PRD064,Pulse Accessorie 64,,Aero,292.5,508.25,Active
PRD065,Orbit Accessorie 65,Accessories,Nexus,256.52,361.03,Active
PRD066,Nexus Laptop 66,Laptops,Nexus,124.07,180.08,Active
PRD067,Nexus Laptop 67,Laptops,Volt,191.28,338.84,Active
PRD068,Nexus Gaming 68,Gaming,Volt,136.34,193.87,Active
PRD069,Nexus Laptop 69,Laptops,Pulse,211.23,393.75,Active
PRD070,Pulse Phone 70,Phones,Nexus,220.82,326.09,Active
PRD071,Orbit Audio 71,Audio,Volt,332.7,618.33,Active
PRD072,Pulse Laptop 72,Laptops,Aero,300.4,499.84,Active
PRD073,Pulse Audio 73,Audio,Pulse,167.82,252.83,Active
PRD074,Nexus Gaming 74,Gaming,Volt,376.12,778.55,Active
PRD075,Nexus Accessorie 75,Accessories,Pulse,269.73,453.11,Active
PRD076,Nexus Laptop 76,Laptops,Orbit,383.22,841.57,Active
PRD077,Pulse Audio 77,Audio,Volt,306.08,517.67,Active
PRD078,Nexus Laptop 78,Laptops,Pulse,72.85,149.61,Active
PRD079,Orbit Accessorie 79,Accessories,Orbit,338.88,665.32,Active
PRD080,Pulse Phone 80,Phones,Aero,178.69,390.71,Active
