ReturnID,SalesID,ReturnDate,ProductID,StoreID,ReturnQuantity,RefundAmount,ReturnReason
RET0001,SAL00756,2022-12-07,PRD065,STR02,1,229.53,Not as Described
RET0002,SAL02549,2024-05-09,PRD013,STR10,1,497.37,Wrong Item
RET0003,SAL04895,2022-01-21,PRD022,STR09,2,974.89,Changed Mind
RET0004,SAL02537,2023-02-07,PRD065,STR03,1,192.77,Wrong Item
RET0005,SAL02403,2024-11-10,PRD014,STR08,1,347.98,Damaged
RET0006,SAL01886,2022-07-29,PRD043,STR01,1,54.7,Changed Mind
RET0007,SAL00250,2024-10-31,PRD066,STR11,1,123.6,Changed Mind
RET0008,SAL03087,2024-04-05,PRD009,STR12,1,272.62,Defective
RET0009,SAL04033,2022-11-28,PRD059,STR12,1,692.55,Defective
RET0010,SAL01184,2024-07-31,PRD074,STR02,1,563.76,Defective
RET0011,SAL04545,2025-05-28,PRD055,STR05,1,386.52,Damaged
RET0012,SAL05611,2024-12-10,PRD074,STR12,1,1970.18,Not as Described
RET0013,SAL00876,2025-07-20,PRD055,STR08,1,314.98,Not as Described
RET0014,SAL03625,2025-06-05,PRD052,STR11,1,355.68,Changed Mind
RET0015,SAL01554,2024-01-30,PRD043,STR10,4,534.77,Defective
RET0016,SAL05032,2024-12-18,PRD032,STR02,1,480.69,Wrong Item
RET0017,SAL01073,2024-08-31,PRD016,STR06,1,446.32,Wrong Item
RET0018,SAL00154,2024-12-31,PRD076,STR08,1,995.9,Not as Described
RET0019,SAL01564,2024-09-26,PRD007,STR04,1,180.65,Defective
RET0020,SAL05749,2024-11-25,PRD059,STR07,1,292.43,Defective
RET0021,SAL01171,2025-05-16,PRD009,STR02,1,570.6,Not as Described
RET0022,SAL04598,2022-12-26,PRD041,STR04,1,691.72,Changed Mind
RET0023,SAL02315,2022-12-09,PRD006,STR01,1,1010.14,Damaged
RET0024,SAL04873,2025-02-27,PRD066,STR04,1,152.78,Damaged
RET0025,SAL05841,2022-12-14,PRD014,STR11,1,919.91,Damaged
RET0026,SAL05620,2025-04-08,PRD034,STR03,1,552.33,Defective
RET0027,SAL01283,2023-11-23,PRD031,STR03,1,1017.28,Damaged
RET0028,SAL00192,2025-07-13,PRD027,STR11,3,432.33,Damaged
RET0029,SAL05435,2024-12-26,PRD025,STR10,1,490.09,Damaged
RET0030,SAL05184,2022-12-16,PRD017,STR06,1,65.0,Changed Mind
RET0031,SAL05797,2022-02-17,PRD030,STR04,1,583.26,Defective
RET0032,SAL04798,2023-07-16,PRD042,STR09,1,182.78,Wrong Item
RET0033,SAL03689,2023-04-28,PRD070,STR01,1,200.86,Changed Mind
RET0034,SAL05699,2023-05-27,PRD077,STR01,1,673.97,Damaged
RET0035,SAL03403,2022-05-28,PRD025,STR02,1,208.54,Changed Mind
RET0036,SAL00816,2022-02-05,PRD076,STR06,1,938.62,Not as Described
RET0037,SAL01805,2022-12-12,PRD016,STR03,1,613.84,Changed Mind
RET0038,SAL02036,2022-09-07,PRD066,STR09,1,127.82,Wrong Item
RET0039,SAL03995,2023-08-27,PRD049,STR03,1,834.02,Wrong Item
RET0040,SAL03277,2024-03-24,PRD064,STR09,1,247.0,Changed Mind
RET0041,SAL01868,2025-05-23,PRD046,STR02,1,320.63,Not as Described
RET0042,SAL00031,2024-12-24,PRD036,STR10,1,596.4,Wrong Item
RET0043,SAL04746,2022-10-20,PRD009,STR10,1,160.68,Defective
RET0044,SAL05921,2024-12-28,PRD038,STR07,1,883.89,Damaged
RET0045,SAL03088,2025-02-10,PRD049,STR11,2,1164.9,Defective
