SalesID,OrderDate,StoreID,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,Channel
SAL00001,2022-07-07,STR03,CUS0060,PRD015,3,339.66,0.0,1018.98,550.95,468.03,Store
SAL00002,2025-04-20,STR12,CUS0045,PRD080,1,390.71,0.15,332.1,178.69,153.41,Store
SAL00003,2022-02-01,STR04,CUS0043,PRD065,1,361.03,0.0,361.03,256.52,104.51,Store
SAL00004,2023-07-19,STR09,CUS0157,PRD038,1,588.04,0.0,588.04,383.18,204.86,Store
SAL00005,2022-07-14,STR10,CUS0270,PRD080,3,390.71,0.0,1172.13,536.07,636.06,App
SAL00006,2024-05-16,STR12,CUS0271,PRD070,2,326.09,0.0,652.18,441.64,210.54,App
SAL00007,2022-10-26,STR05,CUS0212,PRD049,1,535.39,0.2,428.31,243.87,184.44,Online
SAL00008,2025-03-08,STR02,CUS0097,PRD021,1,732.57,0.2,586.06,388.69,197.37,App
SAL00009,2023-05-24,STR10,CUS0295,PRD014,1,469.29,0.0,469.29,320.0,149.29,App
SAL00010,2025-03-14,STR11,CUS0036,PRD020,1,144.97,0.0,144.97,76.2,68.77,Store
SAL00011,2024-12-23,STR09,CUS0201,PRD042,1,213.13,0.15,181.16,102.36,78.8,App
SAL00012,2022-05-29,STR08,CUS0049,PRD027,1,167.97,0.0,167.97,84.52,83.45,Store
SAL00013,2022-08-13,STR08,CUS0205,PRD056,2,434.96,0.0,869.92,522.28,347.64,Online
SAL00014,2022-05-26,STR02,CUS0248,PRD009,2,337.72,0.0,675.44,455.98,219.46,App
SAL00015,2022-05-15,STR10,CUS0281,PRD028,1,167.14,0.0,167.14,81.77,85.37,App
SAL00016,2025-06-17,STR08,CUS0260,PRD015,1,339.66,0.0,339.66,183.65,156.01,Store
SAL00017,2023-04-18,STR02,CUS0016,PRD042,4,213.13,0.0,852.52,409.44,443.08,App
SAL00018,2024-03-24,STR01,CUS0082,PRD027,2,167.97,0.2,268.75,169.04,99.71,Store
SAL00019,2022-06-06,STR10,CUS0135,PRD035,1,285.91,0.0,285.91,147.39,138.52,Online
SAL00020,2025-05-05,STR02,CUS0253,PRD004,2,277.55,0.0,555.1,262.38,292.72,App
SAL00021,2025-05-01,STR06,CUS0201,PRD061,1,60.41,0.0,60.41,31.04,29.37,App
SAL00022,2025-03-29,STR06,CUS0233,PRD064,1,508.25,0.2,406.6,292.5,114.1,App
SAL00023,2024-03-10,STR12,CUS0184,PRD020,6,144.97,0.2,695.86,457.2,238.66,App
SAL00024,2022-08-24,STR04,CUS0078,PRD059,1,494.95,0.0,494.95,285.33,209.62,Online
SAL00025,2023-12-03,STR07,CUS0061,PRD027,1,167.97,0.0,167.97,84.52,83.45,Store
SAL00026,2024-03-03,STR12,CUS0258,PRD064,1,508.25,0.0,508.25,292.5,215.75,Store
SAL00027,2024-06-17,STR12,CUS0162,PRD008,2,439.89,0.2,703.82,513.14,190.68,Online
SAL00028,2022-07-18,STR10,CUS0097,PRD004,1,277.55,0.1,249.8,131.19,118.61,Online
SAL00029,2024-06-01,STR07,CUS0031,PRD027,1,167.97,0.05,159.57,84.52,75.05,Online
SAL00030,2023-02-03,STR06,CUS0007,PRD003,1,460.37,0.1,414.33,234.76,179.57,App
SAL00031,2024-12-16,STR10,CUS0207,PRD036,2,638.05,0.2,1020.88,630.48,390.4,Online
SAL00032,2023-04-06,STR12,CUS0126,PRD051,1,428.0,0.0,428.0,224.16,203.84,Store
SAL00033,2022-05-18,STR01,CUS0237,PRD028,4,167.14,0.0,668.56,327.08,341.48,Online
SAL00034,2025-04-26,STR09,CUS0163,PRD014,1,469.29,0.2,375.43,320.0,55.43,Store
SAL00035,2024-05-24,STR08,CUS0297,PRD004,2,277.55,0.2,444.08,262.38,181.7,Store
SAL00036,2025-05-18,STR09,CUS0025,PRD036,1,638.05,0.05,606.15,315.24,290.91,Store
SAL00037,2024-12-07,STR04,CUS0094,PRD032,1,570.78,0.0,570.78,326.53,244.25,Store
SAL00038,2024-07-29,STR06,CUS0208,PRD004,3,277.55,0.1,749.39,393.57,355.82,Online
SAL00039,2022-04-11,STR12,CUS0147,PRD038,1,588.04,0.1,529.24,383.18,146.06,App
SAL00040,2022-01-03,STR04,CUS0283,PRD068,4,193.87,0.1,697.93,545.36,152.57,App
SAL00041,2025-05-18,STR08,CUS0125,PRD022,2,447.25,0.0,894.5,631.36,263.14,App
SAL00042,2022-07-16,STR08,CUS0296,PRD001,1,769.25,0.0,769.25,373.76,395.49,Store
SAL00043,2024-05-17,STR09,CUS0167,PRD068,1,193.87,0.2,155.1,136.34,18.76,App
SAL00044,2023-02-28,STR09,CUS0192,PRD019,1,404.77,0.0,404.77,279.33,125.44,App
SAL00045,2023-06-01,STR06,CUS0183,PRD036,2,638.05,0.2,1020.88,630.48,390.4,Store
SAL00046,2024-08-11,STR10,CUS0059,PRD028,2,167.14,0.05,317.57,163.54,154.03,Store
SAL00047,2024-11-04,STR09,CUS0160,PRD028,1,167.14,0.2,133.71,81.77,51.94,Store
SAL00048,2023-09-25,STR08,CUS0220,PRD031,1,607.09,0.1,546.38,311.8,234.58,App
SAL00049,2022-03-30,STR12,CUS0281,PRD027,5,167.97,0.05,797.86,422.6,375.26,Store
SAL00050,2024-02-03,STR11,CUS0289,PRD051,4,428.0,0.0,1712.0,896.64,815.36,Store
SAL00051,2025-06-22,STR01,CUS0273,PRD031,1,607.09,0.0,607.09,311.8,295.29,Online
SAL00052,2023-01-04,STR05,CUS0211,PRD031,1,607.09,0.05,576.74,311.8,264.94,Online
SAL00053,2022-04-30,STR07,CUS0160,PRD067,2,338.84,0.05,643.8,382.56,261.24,Online
SAL00054,2025-08-08,STR12,CUS0221,PRD067,2,338.84,0.05,643.8,382.56,261.24,App
SAL00055,2022-08-29,STR07,CUS0051,PRD035,1,285.91,0.0,285.91,147.39,138.52,Online
SAL00056,2023-05-24,STR01,CUS0067,PRD012,2,580.87,0.05,1103.65,774.02,329.63,Store
SAL00057,2023-02-27,STR06,CUS0235,PRD014,2,469.29,0.0,938.58,640.0,298.58,Store
SAL00058,2023-07-15,STR08,CUS0227,PRD074,3,778.55,0.05,2218.87,1128.36,1090.51,Store
SAL00059,2024-07-05,STR06,CUS0134,PRD016,1,565.24,0.1,508.72,261.92,246.8,Online
SAL00060,2023-07-02,STR02,CUS0263,PRD001,1,769.25,0.0,769.25,373.76,395.49,App
SAL00061,2024-11-15,STR02,CUS0130,PRD035,2,285.91,0.0,571.82,294.78,277.04,Online
SAL00062,2023-03-17,STR02,CUS0279,PRD023,2,336.46,0.15,571.98,449.44,122.54,Online
SAL00063,2024-11-26,STR02,CUS0195,PRD028,1,167.14,0.0,167.14,81.77,85.37,Online
SAL00064,2024-05-14,STR02,CUS0196,PRD069,2,393.75,0.0,787.5,422.46,365.04,Online
SAL00065,2022-11-22,STR04,CUS0016,PRD050,2,289.93,0.05,550.87,405.08,145.79,Store
SAL00066,2023-07-08,STR10,CUS0265,PRD012,2,580.87,0.0,1161.74,774.02,387.72,Online
SAL00067,2023-10-20,STR06,CUS0171,PRD003,2,460.37,0.0,920.74,469.52,451.22,App
SAL00068,2023-12-07,STR06,CUS0195,PRD035,2,285.91,0.0,571.82,294.78,277.04,Store
SAL00069,2023-12-05,STR04,CUS0257,PRD051,1,428.0,0.05,406.6,224.16,182.44,App
SAL00070,2024-12-21,STR08,CUS0119,PRD033,2,82.66,0.05,157.05,115.04,42.01,Store
SAL00071,2023-05-24,STR04,CUS0014,PRD035,1,285.91,0.0,285.91,147.39,138.52,App
SAL00072,2024-02-08,STR05,CUS0162,PRD035,1,285.91,0.0,285.91,147.39,138.52,App
SAL00073,2023-07-12,STR07,CUS0211,PRD046,3,533.74,0.0,1601.22,1047.75,553.47,Store
SAL00074,2024-02-03,STR02,CUS0004,PRD030,1,396.17,0.0,396.17,240.04,156.13,App
SAL00075,2024-07-05,STR03,CUS0071,PRD053,3,139.83,0.05,398.52,238.44,160.08,Store
SAL00076,2024-09-16,STR07,CUS0268,PRD029,3,318.8,0.2,765.12,512.4,252.72,App
SAL00077,2024-07-18,STR11,CUS0137,PRD061,1,60.41,0.0,60.41,31.04,29.37,App
SAL00078,2022-11-07,STR12,CUS0228,PRD013,3,332.19,0.2,797.26,455.49,341.77,Store
SAL00079,2022-01-04,STR04,CUS0272,PRD050,3,289.93,0.1,782.81,607.62,175.19,Online
SAL00080,2025-08-06,STR06,CUS0298,PRD008,2,439.89,0.2,703.82,513.14,190.68,App
SAL00081,2022-01-23,STR10,CUS0011,PRD058,1,428.07,0.0,428.07,284.8,143.27,Online
SAL00082,2024-01-09,STR02,CUS0294,PRD004,2,277.55,0.05,527.35,262.38,264.97,App
SAL00083,2025-06-19,STR09,CUS0017,PRD047,1,470.23,0.0,470.23,300.2,170.03,Store
SAL00084,2025-05-02,STR12,CUS0211,PRD025,1,395.29,0.2,316.23,254.79,61.44,Online
SAL00085,2022-03-20,STR05,CUS0124,PRD003,1,460.37,0.2,368.3,234.76,133.54,App
SAL00086,2023-04-07,STR05,CUS0288,PRD033,3,82.66,0.0,247.98,172.56,75.42,App
SAL00087,2025-01-27,STR01,CUS0238,PRD061,1,60.41,0.0,60.41,31.04,29.37,App
SAL00088,2025-02-19,STR08,CUS0089,PRD054,2,167.08,0.1,300.74,161.92,138.82,Online
SAL00089,2024-12-18,STR12,CUS0172,PRD074,3,778.55,0.0,2335.65,1128.36,1207.29,Online
SAL00090,2023-01-25,STR05,CUS0182,PRD024,1,582.46,0.0,582.46,336.53,245.93,App
SAL00091,2022-07-10,STR10,CUS0220,PRD050,2,289.93,0.0,579.86,405.08,174.78,Online
SAL00092,2025-02-02,STR12,CUS0044,PRD018,4,703.6,0.2,2251.52,1351.68,899.84,App
SAL00093,2025-07-08,STR07,CUS0182,PRD061,1,60.41,0.0,60.41,31.04,29.37,Online
SAL00094,2025-04-21,STR09,CUS0087,PRD044,2,125.25,0.0,250.5,114.38,136.12,Store
SAL00095,2022-11-17,STR12,CUS0213,PRD015,1,339.66,0.15,288.71,183.65,105.06,Store
SAL00096,2024-12-30,STR05,CUS0105,PRD058,4,428.07,0.0,1712.28,1139.2,573.08,Online
SAL00097,2022-03-15,STR12,CUS0146,PRD075,5,453.11,0.2,1812.44,1348.65,463.79,Online
SAL00098,2022-07-02,STR04,CUS0095,PRD075,2,453.11,0.0,906.22,539.46,366.76,App
SAL00099,2025-06-25,STR12,CUS0210,PRD016,1,565.24,0.0,565.24,261.92,303.32,App
SAL00100,2024-07-19,STR07,CUS0084,PRD030,4,396.17,0.0,1584.68,960.16,624.52,App
SAL00101,2023-05-15,STR12,CUS0250,PRD066,2,180.08,0.0,360.16,248.14,112.02,App
SAL00102,2022-02-04,STR02,CUS0028,PRD006,4,365.95,0.05,1390.61,827.0,563.61,Store
SAL00103,2025-06-29,STR02,CUS0285,PRD060,1,118.37,0.0,118.37,77.73,40.64,App
SAL00104,2023-05-07,STR11,CUS0146,PRD080,5,390.71,0.15,1660.52,893.45,767.07,Online
SAL00105,2024-07-16,STR02,CUS0208,PRD058,5,428.07,0.15,1819.3,1424.0,395.3,App
SAL00106,2024-05-26,STR05,CUS0021,PRD031,1,607.09,0.2,485.67,311.8,173.87,App
SAL00107,2022-04-08,STR05,CUS0287,PRD039,1,267.3,0.0,267.3,176.25,91.05,App
