TargetID,Year,Month,Region,SalesTarget,ProfitTarget
T0001,2023,1,North,231578,52788
T0002,2023,1,South,132245,53008
T0003,2023,1,East,119264,49870
T0004,2023,1,West,246269,51637
T0005,2023,2,North,186512,40437
T0006,2023,2,South,212497,52912
T0007,2023,2,East,218522,15952
T0008,2023,2,West,105678,17040
T0009,2023,3,North,184835,56446
T0010,2023,3,South,169264,26798
T0011,2023,3,East,218998,37576
T0012,2023,3,West,154736,35423
T0013,2023,4,North,131293,17096
T0014,2023,4,South,162316,26447
T0015,2023,4,East,135393,42869
T0016,2023,4,West,107058,31684
T0017,2023,5,North,105060,43322
T0018,2023,5,South,141225,57769
T0019,2023,5,East,196697,16170
T0020,2023,5,West,200718,56810
T0021,2023,6,North,122432,47545
T0022,2023,6,South,148340,24129
T0023,2023,6,East,87672,17954
T0024,2023,6,West,247060,37907
T0025,2023,7,North,93878,27006
T0026,2023,7,South,242669,34254
T0027,2023,7,East,81221,44002
T0028,2023,7,West,229454,55223
T0029,2023,8,North,139452,54459
T0030,2023,8,South,196088,46043
T0031,2023,8,East,227049,48593
T0032,2023,8,West,101840,18090
T0033,2023,9,North,148835,48280
T0034,2023,9,South,176847,53384
T0035,2023,9,East,106292,37811
T0036,2023,9,West,236649,16620
T0037,2023,10,North,174052,32382
T0038,2023,10,South,124737,34392
T0039,2023,10,East,225786,44302
T0040,2023,10,West,217026,33519
T0041,2023,11,North,245932,17886
T0042,2023,11,South,160822,21864
T0043,2023,11,East,160556,47730
T0044,2023,11,West,107382,32057
T0045,2023,12,North,81663,59556
T0046,2023,12,South,214278,48960
T0047,2023,12,East,201359,46979
T0048,2023,12,West,231095,37889
T0049,2024,1,North,100322,36185
T0050,2024,1,South,185010,54968
T0051,2024,1,East,234346,25524
T0052,2024,1,West,115075,53766
T0053,2024,2,North,110051,57323
T0054,2024,2,South,132305,44891
T0055,2024,2,East,245644,53162
T0056,2024,2,West,88878,56192
T0057,2024,3,North,96532,41081
T0058,2024,3,South,225404,49308
T0059,2024,3,East,153912,59190
T0060,2024,3,West,83615,35195
T0061,2024,4,North,205223,41462
T0062,2024,4,South,141769,30057
T0063,2024,4,East,83005,55834
T0064,2024,4,West,232512,35307
T0065,2024,5,North,203455,57016
T0066,2024,5,South,236334,21557
T0067,2024,5,East,159893,21715
T0068,2024,5,West,162429,57891
T0069,2024,6,North,231110,27187
T0070,2024,6,South,211408,34790
T0071,2024,6,East,116329,45622
T0072,2024,6,West,179628,47134
T0073,2024,7,North,199727,33229
T0074,2024,7,South,106860,43404
T0075,2024,7,East,168113,30860
T0076,2024,7,West,196550,33345
T0077,2024,8,North,186987,39580
T0078,2024,8,South,195542,51425
T0079,2024,8,East,170055,42470
T0080,2024,8,West,133995,59818
T0081,2024,9,North,196202,21640
T0082,2024,9,South,179067,34434
T0083,2024,9,East,142011,41022
T0084,2024,9,West,97842,57798
T0085,2024,10,North,109761,21186
T0086,2024,10,South,186121,48942
T0087,2024,10,East,176745,53512
T0088,2024,10,West,177393,24060
T0089,2024,11,North,161451,19644
T0090,2024,11,South,209555,22711
T0091,2024,11,East,192794,49219
T0092,2024,11,West,209479,34713
T0093,2024,12,North,208631,50890
T0094,2024,12,South,122975,35611
T0095,2024,12,East,186632,56818
T0096,2024,12,West,145016,32883
T0097,2025,1,North,133482,26356
T0098,2025,1,South,165104,20754
T0099,2025,1,East,82639,23032
T0100,2025,1,West,101465,16774
T0101,2025,2,North,123392,58124
T0102,2025,2,South,225928,49303
T0103,2025,2,East,133244,22682
T0104,2025,2,West,150237,52461
T0105,2025,3,North,97726,32685
T0106,2025,3,South,100070,18488
T0107,2025,3,East,102239,20881
T0108,2025,3,West,113879,17978
T0109,2025,4,North,101408,57398
T0110,2025,4,South,198845,35021
T0111,2025,4,East,202530,31921
T0112,2025,4,West,226826,21110
T0113,2025,5,North,162133,59993
T0114,2025,5,South,204537,52267
T0115,2025,5,East,194345,21322
T0116,2025,5,West,234151,32962
T0117,2025,6,North,113936,27374
T0118,2025,6,South,211242,18702
T0119,2025,6,East,128784,19439
T0120,2025,6,West,125301,31878
T0121,2025,7,North,164440,50325
T0122,2025,7,South,120399,32213
T0123,2025,7,East,205262,15573
T0124,2025,7,West,213411,16643
T0125,2025,8,North,210561,17831
T0126,2025,8,South,233266,26825
T0127,2025,8,East,200938,48908
T0128,2025,8,West,248757,38791
