ProductID,ProductName,Category,Brand,UnitCost,UnitPrice
P001,Orbit Wearables 1,Wearables,Aero,252.9,474.05
P002,Nexus Gaming 2,Gaming,Volt,287.87,441.21
P003,Pulse Laptops 3,Laptops,Nexus,44.48,101.68
P004,Orbit Smartphones 4,Smartphones,Nexus,393.26,700.29
P005,Nexus Audio 5,Audio,Pulse,94.13,187.0
P006,Aero Gaming 6,Gaming,Volt,423.08,826.37
P007,Pulse Accessories 7,Accessories,Orbit,334.88,572.81
P008,Pulse Gaming 8,Gaming,Nexus,317.47,682.79
P009,Aero Laptops 9,Laptops,Nexus,122.35,211.8
P010,Volt Laptops 10,Laptops,Nexus,114.67,177.97
P011,Orbit Wearables 11,Wearables,Pulse,193.14,309.34
P012,Volt Smartphones 12,Smartphones,Nexus,341.62,703.62
P013,Orbit Wearables 13,Wearables,Nexus,406.57,633.58
P014,Aero Smartphones 14,Smartphones,Aero,241.55,523.69
P015,Orbit Smartphones 15,Smartphones,Volt,291.66,411.34
P016,Orbit Wearables 16,Wearables,Volt,278.25,442.1
P017,Aero Accessories 17,Accessories,Aero,390.83,780.73
P018,Nexus Accessories 18,Accessories,Aero,344.12,560.51
P019,Nexus Smartphones 19,Smartphones,Volt,217.83,451.75
P020,Nexus Accessories 20,Accessories,Volt,412.87,796.23
P021,Pulse Smartphones 21,Smartphones,Volt,183.91,414.87
P022,Volt Accessories 22,Accessories,Nexus,415.36,753.54
P023,Nexus Laptops 23,Laptops,Pulse,419.87,589.93
P024,Aero Accessories 24,Accessories,Orbit,427.45,908.43
P025,Pulse Accessories 25,Accessories,Orbit,350.48,788.41
P026,Volt Smartphones 26,Smartphones,Orbit,137.65,311.93
P027,Pulse Accessories 27,Accessories,Nexus,345.99,598.23
P028,Orbit Gaming 28,Gaming,Volt,301.2,535.81
P029,Nexus Smartphones 29,Smartphones,Aero,120.5,230.02
P030,Aero Smartphones 30,Smartphones,Aero,275.09,556.36
P031,Aero Laptops 31,Laptops,Nexus,122.3,173.34
P032,Orbit Smartphones 32,Smartphones,Pulse,143.35,266.96
P033,Volt Gaming 33,Gaming,Volt,422.59,760.26
P034,Pulse Wearables 34,Wearables,Aero,368.19,530.96
P035,Orbit Wearables 35,Wearables,Orbit,175.58,381.12
P036,Aero Laptops 36,Laptops,Aero,311.18,539.12
P037,Aero Audio 37,Audio,Pulse,365.25,559.57
P038,Orbit Accessories 38,Accessories,Pulse,215.66,348.21
P039,Aero Smartphones 39,Smartphones,Orbit,396.66,839.98
P040,Volt Accessories 40,Accessories,Aero,66.61,151.24
P041,Orbit Smartphones 41,Smartphones,Orbit,95.68,148.6
P042,Pulse Wearables 42,Wearables,Orbit,408.54,552.37
P043,Orbit Wearables 43,Wearables,Nexus,137.71,241.25
P044,Volt Gaming 44,Gaming,Orbit,448.05,670.76
P045,Aero Audio 45,Audio,Volt,117.52,240.79
P046,Aero Laptops 46,Laptops,Aero,342.89,653.19
P047,Volt Accessories 47,Accessories,Pulse,415.74,583.71
P048,Pulse Accessories 48,Accessories,Aero,59.05,113.1
P049,Orbit Gaming 49,Gaming,Aero,391.27,878.21
P050,Volt Accessories 50,Accessories,Aero,129.64,251.3
P051,Volt Wearables 51,Wearables,Volt,304.38,502.39
P052,Nexus Audio 52,Audio,Pulse,111.81,179.16
P053,Nexus Smartphones 53,Smartphones,Orbit,310.47,512.39
P054,Volt Laptops 54,Laptops,Volt,28.96,66.5
P055,Volt Laptops 55,Laptops,Nexus,253.49,374.11
P056,Pulse Audio 56,Audio,Nexus,399.37,647.27
P057,Nexus Wearables 57,Wearables,Volt,379.34,866.66
P058,Volt Gaming 58,Gaming,Nexus,249.8,558.35
P059,Pulse Laptops 59,Laptops,Nexus,424.05,618.97
P060,Pulse Laptops 60,Laptops,Nexus,340.53,550.86
P061,Pulse Smartphones 61,Smartphones,Nexus,329.99,603.93
P062,Aero Audio 62,Audio,Aero,409.77,800.1
P063,Nexus Audio 63,Audio,Pulse,43.74,85.52
P064,Orbit Audio 64,Audio,Volt,93.67,189.25
P065,Aero Accessories 65,Accessories,Pulse,29.11,54.39
P066,Pulse Audio 66,Audio,Orbit,272.57,400.97
P067,Aero Audio 67,Audio,Nexus,179.98,278.89
P068,Nexus Smartphones 68,Smartphones,Volt,308.45,675.48
P069,Pulse Wearables 69,Wearables,Pulse,438.88,952.97
P070,Aero Smartphones 70,Smartphones,Pulse,399.6,819.07
P071,Orbit Audio 71,Audio,Pulse,357.51,573.25
P072,Aero Gaming 72,Gaming,Orbit,70.94,110.76
P073,Pulse Wearables 73,Wearables,Pulse,173.6,238.26
P074,Nexus Smartphones 74,Smartphones,Aero,194.35,440.89
P075,Volt Audio 75,Audio,Orbit,174.24,347.7
P076,Aero Accessories 76,Accessories,Aero,165.74,361.84
P077,Nexus Audio 77,Audio,Aero,100.89,146.59
P078,Nexus Wearables 78,Wearables,Orbit,171.92,331.1
P079,Volt Accessories 79,Accessories,Pulse,74.15,118.05
P080,Volt Gaming 80,Gaming,Volt,210.32,421.17
P081,Pulse Gaming 81,Gaming,Nexus,338.24,595.21
P082,Volt Gaming 82,Gaming,Nexus,416.33,824.42
P083,Nexus Laptops 83,Laptops,Volt,330.9,543.94
P084,Nexus Wearables 84,Wearables,Volt,163.63,240.69
P085,Orbit Wearables 85,Wearables,Pulse,307.6,595.13
P086,Aero Audio 86,Audio,Nexus,197.58,320.59
P087,Volt Wearables 87,Wearables,Nexus,358.95,643.14
P088,Volt Wearables 88,Wearables,Orbit,312.14,656.76
P089,Aero Gaming 89,Gaming,Nexus,97.12,178.67
P090,Aero Gaming 90,Gaming,Pulse,288.19,573.25
P091,Pulse Smartphones 91,Smartphones,Aero,367.79,512.66
P092,Aero Wearables 92,Wearables,Orbit,284.79,496.59
P093,Orbit Gaming 93,Gaming,Orbit,269.66,466.42
P094,Aero Smartphones 94,Smartphones,Aero,303.82,634.83
P095,Volt Smartphones 95,Smartphones,Orbit,99.75,139.42
P096,Aero Smartphones 96,Smartphones,Orbit,414.92,612.7
P097,Volt Wearables 97,Wearables,Volt,308.72,509.83
P098,Volt Wearables 98,Wearables,Orbit,285.38,610.44
P099,Pulse Accessories 99,Accessories,Orbit,214.51,381.31
P100,Nexus Smartphones 100,Smartphones,Volt,381.94,691.45
