SalesID,OrderDate,StoreID,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,Channel
S00001,2024-01-11,ST12,C0053,P055,3,374.11,0.15,953.98,760.47,193.51,Online
S00002,2025-02-06,ST01,C0448,P039,1,839.98,0.05,797.98,396.66,401.32,Mobile App
S00003,2023-07-30,ST14,C0442,P045,1,240.79,0.0,240.79,117.52,123.27,Marketplace
S00004,2024-10-06,ST13,C0398,P016,1,442.1,0.0,442.1,278.25,163.85,Online
S00005,2023-01-09,ST12,C0302,P095,3,139.42,0.0,418.26,299.25,119.01,Marketplace
S00006,2024-04-05,ST03,C0316,P022,2,753.54,0.0,1507.08,830.72,676.36,Online
S00007,2023-12-06,ST06,C0292,P008,1,682.79,0.1,614.51,317.47,297.04,Mobile App
S00008,2024-07-16,ST03,C0276,P077,1,146.59,0.0,146.59,100.89,45.7,Mobile App
S00009,2024-08-30,ST05,C0294,P038,2,348.21,0.1,626.78,431.32,195.46,Retail Store
S00010,2024-07-15,ST13,C0493,P018,1,560.51,0.05,532.48,344.12,188.36,Retail Store
S00011,2024-03-16,ST11,C0444,P036,1,539.12,0.0,539.12,311.18,227.94,Online
S00012,2024-03-20,ST12,C0075,P032,2,266.96,0.0,533.92,286.7,247.22,Online
S00013,2023-01-07,ST11,C0432,P098,2,610.44,0.05,1159.84,570.76,589.08,Marketplace
S00014,2024-05-17,ST11,C0296,P019,1,451.75,0.0,451.75,217.83,233.92,Marketplace
S00015,2023-01-11,ST02,C0232,P049,1,878.21,0.15,746.48,391.27,355.21,Retail Store
S00016,2024-04-27,ST12,C0264,P052,4,179.16,0.0,716.64,447.24,269.4,Mobile App
S00017,2023-09-08,ST08,C0487,P059,2,618.97,0.0,1237.94,848.1,389.84,Retail Store
S00018,2025-06-09,ST12,C0434,P100,1,691.45,0.0,691.45,381.94,309.51,Marketplace
S00019,2023-01-16,ST12,C0341,P082,2,824.42,0.0,1648.84,832.66,816.18,Retail Store
S00020,2025-01-10,ST04,C0204,P069,1,952.97,0.05,905.32,438.88,466.44,Online
S00021,2024-09-06,ST06,C0138,P064,1,189.25,0.0,189.25,93.67,95.58,Mobile App
S00022,2025-01-04,ST03,C0296,P071,6,573.25,0.1,3095.55,2145.06,950.49,Marketplace
S00023,2025-04-08,ST11,C0458,P044,1,670.76,0.0,670.76,448.05,222.71,Retail Store
S00024,2023-04-08,ST13,C0321,P013,1,633.58,0.05,601.9,406.57,195.33,Retail Store
S00025,2023-03-29,ST14,C0476,P016,2,442.1,0.0,884.2,556.5,327.7,Marketplace
S00026,2023-05-16,ST07,C0001,P059,1,618.97,0.0,618.97,424.05,194.92,Online
S00027,2023-06-24,ST03,C0155,P084,1,240.69,0.0,240.69,163.63,77.06,Retail Store
S00028,2024-04-24,ST05,C0185,P084,1,240.69,0.0,240.69,163.63,77.06,Mobile App
S00029,2025-01-12,ST11,C0463,P086,2,320.59,0.0,641.18,395.16,246.02,Retail Store
S00030,2023-09-01,ST05,C0321,P051,1,502.39,0.15,427.03,304.38,122.65,Online
S00031,2023-12-28,ST02,C0336,P055,4,374.11,0.15,1271.97,1013.96,258.01,Retail Store
S00032,2023-12-06,ST08,C0110,P001,1,474.05,0.0,474.05,252.9,221.15,Online
S00033,2024-01-05,ST09,C0116,P076,2,361.84,0.15,615.13,331.48,283.65,Marketplace
S00034,2024-05-29,ST12,C0005,P002,1,441.21,0.0,441.21,287.87,153.34,Retail Store
S00035,2025-06-21,ST03,C0356,P055,1,374.11,0.05,355.4,253.49,101.91,Retail Store
S00036,2023-07-25,ST02,C0197,P030,4,556.36,0.15,1891.62,1100.36,791.26,Retail Store
S00037,2024-09-15,ST06,C0161,P014,4,523.69,0.0,2094.76,966.2,1128.56,Online
S00038,2025-02-11,ST14,C0397,P049,2,878.21,0.0,1756.42,782.54,973.88,Online
S00039,2024-08-18,ST10,C0272,P009,1,211.8,0.0,211.8,122.35,89.45,Online
S00040,2025-02-20,ST12,C0180,P057,1,866.66,0.0,866.66,379.34,487.32,Online
S00041,2024-11-22,ST11,C0316,P053,2,512.39,0.05,973.54,620.94,352.6,Online
S00042,2023-03-27,ST02,C0460,P012,2,703.62,0.0,1407.24,683.24,724.0,Retail Store
S00043,2023-12-12,ST07,C0374,P076,1,361.84,0.0,361.84,165.74,196.1,Marketplace
S00044,2024-05-18,ST03,C0406,P041,1,148.6,0.0,148.6,95.68,52.92,Mobile App
S00045,2023-02-21,ST04,C0044,P083,1,543.94,0.1,489.55,330.9,158.65,Mobile App
S00046,2023-01-09,ST12,C0482,P100,5,691.45,0.0,3457.25,1909.7,1547.55,Mobile App
S00047,2023-06-06,ST10,C0266,P027,4,598.23,0.1,2153.63,1383.96,769.67,Online
S00048,2024-03-31,ST05,C0201,P096,1,612.7,0.15,520.8,414.92,105.88,Retail Store
S00049,2024-01-31,ST07,C0254,P031,1,173.34,0.0,173.34,122.3,51.04,Online
S00050,2024-12-15,ST10,C0327,P064,2,189.25,0.0,378.5,187.34,191.16,Retail Store
S00051,2024-05-30,ST06,C0479,P047,2,583.71,0.0,1167.42,831.48,335.94,Marketplace
S00052,2025-02-20,ST06,C0216,P073,1,238.26,0.1,214.43,173.6,40.83,Online
S00053,2023-03-28,ST13,C0242,P098,2,610.44,0.0,1220.88,570.76,650.12,Retail Store
S00054,2024-04-26,ST01,C0035,P076,2,361.84,0.0,723.68,331.48,392.2,Online
S00055,2023-02-08,ST01,C0473,P006,3,826.37,0.05,2355.15,1269.24,1085.91,Mobile App
S00056,2023-07-12,ST09,C0365,P081,1,595.21,0.05,565.45,338.24,227.21,Marketplace
S00057,2025-03-01,ST02,C0206,P090,1,573.25,0.15,487.26,288.19,199.07,Online
S00058,2025-03-19,ST05,C0043,P036,2,539.12,0.0,1078.24,622.36,455.88,Online
S00059,2024-03-09,ST06,C0275,P020,2,796.23,0.05,1512.84,825.74,687.1,Retail Store
S00060,2023-02-12,ST07,C0358,P040,1,151.24,0.15,128.55,66.61,61.94,Online
S00061,2023-03-09,ST02,C0126,P008,2,682.79,0.05,1297.3,634.94,662.36,Retail Store
S00062,2025-04-23,ST10,C0314,P059,2,618.97,0.0,1237.94,848.1,389.84,Mobile App
S00063,2025-03-30,ST11,C0380,P086,2,320.59,0.15,545.0,395.16,149.84,Online
S00064,2024-05-28,ST12,C0007,P016,2,442.1,0.0,884.2,556.5,327.7,Retail Store
S00065,2023-01-30,ST06,C0255,P021,2,414.87,0.1,746.77,367.82,378.95,Mobile App
S00066,2025-04-26,ST03,C0191,P022,1,753.54,0.15,640.51,415.36,225.15,Mobile App
S00067,2023-10-14,ST02,C0454,P094,2,634.83,0.0,1269.66,607.64,662.02,Mobile App
S00068,2025-05-25,ST09,C0140,P055,1,374.11,0.0,374.11,253.49,120.62,Mobile App
S00069,2024-06-18,ST10,C0500,P092,1,496.59,0.15,422.1,284.79,137.31,Retail Store
S00070,2024-11-16,ST09,C0234,P064,3,189.25,0.0,567.75,281.01,286.74,Retail Store
S00071,2024-10-11,ST10,C0440,P064,1,189.25,0.0,189.25,93.67,95.58,Mobile App
S00072,2023-12-29,ST13,C0131,P021,3,414.87,0.0,1244.61,551.73,692.88,Retail Store
S00073,2023-03-12,ST09,C0380,P030,3,556.36,0.0,1669.08,825.27,843.81,Retail Store
