ProductID,ProductName,Category,Brand,UnitCost,UnitPrice
PRD001,Aero Wearables 1,Wearables,Pulse,221.71,370.81
PRD002,Aero Smartphones 2,Smartphones,Pulse,140.36,206.22
PRD003,Nexus Gaming 3,Gaming,Aero,281.75,518.56
PRD004,Pulse Smartphones 4,Smartphones,Orbit,291.78,541.95
PRD005,Pulse Accessories 5,Accessories,Orbit,41.75,72.21
PRD006,Pulse Laptops 6,Laptops,Nexus,73.42,156.27
PRD007,Aero Smartphones 7,Smartphones,Nexus,217.75,384.87
PRD008,Nexus Wearables 8,Wearables,Pulse,130.68,284.89
PRD009,Aero Gaming 9,Gaming,Pulse,20.42,39.74
PRD010,Nexus Gaming 10,Gaming,Aero,190.06,334.05
PRD011,Aero Smartphones 11,Smartphones,Orbit,195.47,417.38
PRD012,Nexus Gaming 12,Gaming,Pulse,294.94,451.66
PRD013,Nexus Wearables 13,Wearables,Aero,308.2,572.18
PRD014,Nexus Accessories 14,Accessories,Nexus,104.45,195.85
PRD015,Pulse Gaming 15,Gaming,Orbit,270.29,534.64
PRD016,Pulse Accessories 16,Accessories,Pulse,178.49,337.8
PRD017,Pulse Audio 17,Audio,Nexus,41.34,80.14
PRD018,Pulse Audio 18,Audio,Nexus,312.35,547.65
PRD019,Pulse Wearables 19,Wearables,Nexus,189.52,278.94
PRD020,Nexus Accessories 20,Accessories,Aero,203.54,357.7
PRD021,Pulse Accessories 21,Accessories,Nexus,117.72,165.14
PRD022,Pulse Laptops 22,Laptops,Pulse,89.78,179.9
PRD023,Aero Laptops 23,Laptops,Orbit,86.92,164.21
PRD024,Aero Smartphones 24,Smartphones,Orbit,41.01,79.18
PRD025,Pulse Audio 25,Audio,Orbit,144.31,227.74
PRD026,Nexus Laptops 26,Laptops,Aero,240.24,528.35
PRD027,Pulse Wearables 27,Wearables,Aero,291.25,578.41
PRD028,Pulse Smartphones 28,Smartphones,Nexus,140.6,213.33
PRD029,Pulse Smartphones 29,Smartphones,Orbit,117.83,199.66
PRD030,Nexus Smartphones 30,Smartphones,Pulse,143.34,255.97
PRD031,Aero Gaming 31,Gaming,Aero,226.91,448.4
PRD032,Aero Audio 32,Audio,Orbit,322.6,638.32
PRD033,Aero Wearables 33,Wearables,Pulse,236.17,356.33
PRD034,Pulse Wearables 34,Wearables,Pulse,103.0,156.51
PRD035,Aero Audio 35,Audio,Pulse,270.97,480.24
PRD036,Aero Smartphones 36,Smartphones,Pulse,199.03,332.3
PRD037,Aero Accessories 37,Accessories,Pulse,94.84,194.23
PRD038,Nexus Gaming 38,Gaming,Aero,189.75,266.7
PRD039,Aero Gaming 39,Gaming,Pulse,230.26,368.6
PRD040,Pulse Laptops 40,Laptops,Aero,93.59,151.02
PRD041,Aero Smartphones 41,Smartphones,Aero,103.96,198.13
PRD042,Nexus Accessories 42,Accessories,Pulse,339.41,620.0
PRD043,Aero Audio 43,Audio,Pulse,163.5,275.99
PRD044,Nexus Wearables 44,Wearables,Aero,340.71,550.42
PRD045,Nexus Smartphones 45,Smartphones,Nexus,178.36,357.11
PRD046,Pulse Gaming 46,Gaming,Orbit,263.91,490.11
PRD047,Nexus Wearables 47,Wearables,Orbit,214.53,351.11
PRD048,Pulse Gaming 48,Gaming,Pulse,148.36,219.08
PRD049,Nexus Wearables 49,Wearables,Pulse,259.65,459.8
PRD050,Pulse Gaming 50,Gaming,Aero,76.64,127.11
PRD051,Pulse Gaming 51,Gaming,Pulse,72.37,138.82
PRD052,Nexus Accessories 52,Accessories,Nexus,174.32,330.06
PRD053,Aero Audio 53,Audio,Pulse,281.3,536.87
PRD054,Nexus Accessories 54,Accessories,Orbit,33.69,63.7
PRD055,Nexus Accessories 55,Accessories,Pulse,188.75,366.59
PRD056,Aero Laptops 56,Laptops,Pulse,269.62,413.05
PRD057,Nexus Accessories 57,Accessories,Orbit,203.53,441.9
PRD058,Nexus Audio 58,Audio,Aero,300.58,451.54
PRD059,Pulse Laptops 59,Laptops,Orbit,162.6,310.62
PRD060,Pulse Laptops 60,Laptops,Pulse,165.18,362.14
PRD061,Aero Wearables 61,Wearables,Nexus,170.32,351.38
PRD062,Pulse Accessories 62,Accessories,Pulse,264.27,400.07
PRD063,Nexus Accessories 63,Accessories,Aero,149.01,314.78
PRD064,Pulse Laptops 64,Laptops,Pulse,103.2,170.11
PRD065,Aero Wearables 65,Wearables,Aero,157.21,261.0
PRD066,Aero Accessories 66,Accessories,Orbit,293.37,479.94
PRD067,Pulse Accessories 67,Accessories,Pulse,263.6,494.84
PRD068,Nexus Audio 68,Audio,Nexus,241.43,339.4
PRD069,Pulse Accessories 69,Accessories,Nexus,222.64,385.57
PRD070,Nexus Wearables 70,Wearables,Nexus,300.33,468.13
PRD071,Pulse Wearables 71,Wearables,Pulse,40.95,58.36
PRD072,Aero Smartphones 72,Smartphones,Aero,285.8,551.52
PRD073,Pulse Gaming 73,Gaming,Pulse,310.4,528.96
PRD074,Nexus Wearables 74,Wearables,Pulse,99.72,167.6
PRD075,Pulse Wearables 75,Wearables,Pulse,256.45,506.71
PRD076,Nexus Smartphones 76,Smartphones,Pulse,81.2,132.2
PRD077,Nexus Accessories 77,Accessories,Pulse,182.73,343.3
PRD078,Pulse Laptops 78,Laptops,Aero,173.39,353.29
PRD079,Nexus Accessories 79,Accessories,Aero,64.58,106.03
PRD080,Nexus Accessories 80,Accessories,Aero,175.08,349.85
