InventoryID,SnapshotDate,StoreID,ProductID,ClosingStock,StockValue,ReorderLevel,StockStatus
INV00001,2023-01-31,ST11,PRD057,86,17503.58,25,OK
INV00002,2023-01-31,ST11,PRD007,44,9581.0,20,OK
INV00003,2023-01-31,ST11,PRD009,79,1613.18,11,OK
INV00004,2023-01-31,ST11,PRD079,88,5683.04,10,OK
INV00005,2023-01-31,ST11,PRD073,91,28246.4,23,OK
INV00006,2023-01-31,ST11,PRD048,107,15874.52,25,OK
INV00007,2023-01-31,ST11,PRD047,10,2145.3,24,Low
INV00008,2023-01-31,ST11,PRD062,71,18763.17,23,OK
INV00009,2023-01-31,ST11,PRD046,102,26918.82,18,OK
INV00010,2023-01-31,ST11,PRD030,117,16770.78,24,OK
INV00011,2023-01-31,ST11,PRD065,97,15249.37,10,OK
INV00012,2023-01-31,ST11,PRD068,46,11105.78,25,OK
INV00013,2023-01-31,ST11,PRD017,75,3100.5,11,OK
INV00014,2023-01-31,ST11,PRD044,67,22827.57,21,OK
INV00015,2023-01-31,ST11,PRD058,17,5109.86,15,OK
INV00016,2023-01-31,ST11,PRD033,77,18185.09,14,OK
INV00017,2023-01-31,ST11,PRD027,59,17183.75,24,OK
INV00018,2023-01-31,ST11,PRD071,34,1392.3,9,OK
INV00019,2023-01-31,ST11,PRD006,64,4698.88,22,OK
INV00020,2023-01-31,ST11,PRD077,8,1461.84,19,Low
INV00021,2023-01-31,ST11,PRD031,61,13841.51,10,OK
INV00022,2023-01-31,ST11,PRD042,44,14934.04,20,OK
INV00023,2023-01-31,ST11,PRD050,106,8123.84,13,OK
INV00024,2023-01-31,ST11,PRD005,97,4049.75,11,OK
INV00025,2023-01-31,ST11,PRD054,1,33.69,9,Low
INV00026,2023-01-31,ST12,PRD003,108,30429.0,14,OK
INV00027,2023-01-31,ST12,PRD034,75,7725.0,10,OK
INV00028,2023-01-31,ST12,PRD063,6,894.06,12,Low
INV00029,2023-01-31,ST12,PRD009,101,2062.42,22,OK
INV00030,2023-01-31,ST12,PRD074,81,8077.32,17,OK
INV00031,2023-01-31,ST12,PRD038,22,4174.5,14,OK
INV00032,2023-01-31,ST12,PRD006,60,4405.2,24,OK
INV00033,2023-01-31,ST12,PRD056,24,6470.88,22,OK
INV00034,2023-01-31,ST12,PRD043,83,13570.5,21,OK
INV00035,2023-01-31,ST12,PRD073,17,5276.8,15,OK
INV00036,2023-01-31,ST12,PRD067,14,3690.4,16,OK
INV00037,2023-01-31,ST12,PRD044,60,20442.6,8,OK
INV00038,2023-01-31,ST12,PRD005,11,459.25,12,Low
INV00039,2023-01-31,ST12,PRD008,50,6534.0,8,OK
INV00040,2023-01-31,ST12,PRD025,95,13709.45,19,OK
INV00041,2023-01-31,ST12,PRD057,113,22998.89,21,OK
INV00042,2023-01-31,ST12,PRD001,115,25496.65,13,OK
INV00043,2023-01-31,ST12,PRD065,79,12419.59,12,OK
INV00044,2023-01-31,ST12,PRD035,51,13819.47,20,OK
INV00045,2023-01-31,ST12,PRD060,75,12388.5,13,OK
INV00046,2023-01-31,ST12,PRD027,114,33202.5,15,OK
INV00047,2023-01-31,ST12,PRD078,49,8496.11,12,OK
INV00048,2023-01-31,ST12,PRD068,6,1448.58,11,Low
INV00049,2023-01-31,ST12,PRD020,29,5902.66,17,OK
INV00050,2023-01-31,ST12,PRD028,18,2530.8,11,OK
INV00051,2023-01-31,ST07,PRD033,24,5668.08,19,OK
INV00052,2023-01-31,ST07,PRD066,118,34617.66,24,OK
INV00053,2023-01-31,ST07,PRD064,23,2373.6,21,OK
INV00054,2023-01-31,ST07,PRD056,31,8358.22,23,OK
INV00055,2023-01-31,ST07,PRD030,116,16627.44,17,OK
INV00056,2023-01-31,ST07,PRD004,57,16631.46,24,OK
INV00057,2023-01-31,ST07,PRD019,117,22173.84,24,OK
INV00058,2023-01-31,ST07,PRD065,110,17293.1,24,OK
INV00059,2023-01-31,ST07,PRD051,115,8322.55,12,OK
INV00060,2023-01-31,ST07,PRD017,38,1570.92,18,OK
INV00061,2023-01-31,ST07,PRD073,87,27004.8,11,OK
