ReturnID,SalesID,ReturnDate,ProductID,StoreID,ReturnQuantity,RefundAmount,ReturnReason
R0001,SAL05084,2025-04-25,PRD055,ST11,2,835.74,Wrong Item
R0002,SAL05532,2024-12-28,PRD066,ST04,1,305.7,Not as Described
R0003,SAL02536,2025-01-15,PRD057,ST10,1,354.94,Wrong Item
R0004,SAL05499,2024-04-05,PRD059,ST12,1,175.5,Changed Mind
R0005,SAL05487,2025-06-19,PRD077,ST10,1,630.87,Wrong Item
R0006,SAL00132,2023-05-20,PRD026,ST05,1,710.95,Changed Mind
R0007,SAL03649,2025-01-29,PRD057,ST02,1,586.71,Damaged
R0008,SAL02821,2024-02-13,PRD045,ST09,1,510.06,Not as Described
R0009,SAL05126,2024-10-10,PRD055,ST02,1,307.58,Damaged
R0010,SAL02461,2025-02-26,PRD009,ST03,1,32.78,Damaged
R0011,SAL02092,2025-04-26,PRD079,ST02,1,92.24,Defective
R0012,SAL02387,2023-12-06,PRD080,ST11,1,289.59,Defective
R0013,SAL04304,2023-12-07,PRD063,ST12,2,683.21,Damaged
R0014,SAL04328,2024-12-19,PRD027,ST02,1,449.52,Changed Mind
R0015,SAL05243,2024-09-11,PRD077,ST01,2,812.77,Defective
R0016,SAL02609,2025-06-20,PRD062,ST04,1,272.04,Wrong Item
R0017,SAL02572,2024-05-20,PRD023,ST09,1,161.07,Defective
R0018,SAL06291,2024-07-04,PRD053,ST08,1,1852.08,Defective
R0019,SAL05463,2022-10-28,PRD044,ST11,1,476.35,Changed Mind
R0020,SAL04043,2023-07-07,PRD031,ST02,2,731.25,Defective
R0021,SAL00214,2023-12-25,PRD010,ST10,1,460.1,Not as Described
R0022,SAL00564,2022-08-03,PRD036,ST03,1,429.21,Wrong Item
R0023,SAL02124,2023-04-22,PRD024,ST06,1,119.72,Damaged
R0024,SAL06058,2023-09-01,PRD022,ST09,1,148.88,Wrong Item
R0025,SAL03049,2025-06-27,PRD050,ST11,1,197.79,Defective
R0026,SAL01956,2025-05-21,PRD049,ST01,1,592.85,Defective
R0027,SAL00751,2025-04-16,PRD051,ST12,1,133.58,Not as Described
R0028,SAL04662,2023-03-27,PRD068,ST08,1,239.43,Changed Mind
R0029,SAL02334,2024-03-18,PRD052,ST11,1,286.81,Changed Mind
R0030,SAL00163,2023-03-30,PRD072,ST11,1,1066.2,Wrong Item
R0031,SAL06225,2023-02-09,PRD050,ST08,1,101.72,Defective
R0032,SAL05275,2023-02-16,PRD073,ST07,1,326.83,Wrong Item
R0033,SAL00222,2022-11-30,PRD012,ST06,1,1327.17,Changed Mind
R0034,SAL05622,2023-11-23,PRD033,ST12,1,253.64,Changed Mind
R0035,SAL03802,2024-05-14,PRD075,ST02,1,1042.38,Changed Mind
R0036,SAL01565,2024-11-30,PRD072,ST02,1,476.5,Damaged
R0037,SAL05517,2025-01-26,PRD048,ST03,1,306.19,Changed Mind
R0038,SAL04467,2022-11-26,PRD001,ST01,2,765.24,Not as Described
R0039,SAL05855,2023-01-15,PRD048,ST08,1,182.64,Changed Mind
R0040,SAL02407,2023-10-01,PRD013,ST07,1,412.37,Wrong Item
R0041,SAL04589,2022-11-26,PRD040,ST05,1,150.64,Changed Mind
R0042,SAL04771,2022-09-12,PRD029,ST05,1,391.92,Changed Mind
R0043,SAL03033,2022-07-25,PRD052,ST05,1,215.62,Changed Mind
R0044,SAL05374,2023-12-30,PRD006,ST02,1,170.61,Not as Described
R0045,SAL03819,2024-02-18,PRD059,ST02,1,303.7,Defective
R0046,SAL03740,2024-09-18,PRD040,ST11,1,344.71,Not as Described
R0047,SAL03641,2024-08-23,PRD055,ST12,1,820.75,Changed Mind
R0048,SAL05344,2022-10-18,PRD005,ST03,1,52.65,Defective
R0049,SAL06924,2023-09-29,PRD021,ST08,2,353.36,Changed Mind
R0050,SAL02758,2024-12-10,PRD052,ST04,1,520.92,Defective
R0051,SAL02143,2024-04-04,PRD005,ST06,1,71.94,Wrong Item
R0052,SAL06149,2024-01-30,PRD027,ST01,1,449.03,Damaged
R0053,SAL02278,2023-07-11,PRD021,ST10,1,158.65,Changed Mind
R0054,SAL02036,2024-12-01,PRD068,ST05,1,333.69,Changed Mind
R0055,SAL06172,2024-09-16,PRD004,ST04,4,2029.5,Wrong Item
R0056,SAL01189,2023-11-06,PRD073,ST08,2,878.26,Not as Described
R0057,SAL04971,2023-11-24,PRD021,ST08,1,294.35,Defective
R0058,SAL05071,2024-12-02,PRD059,ST10,1,226.29,Wrong Item
R0059,SAL05343,2024-12-06,PRD077,ST09,1,309.97,Defective
R0060,SAL03152,2024-09-21,PRD014,ST12,1,308.61,Not as Described
R0061,SAL00864,2023-02-01,PRD037,ST01,1,129.97,Changed Mind
R0062,SAL04555,2024-07-31,PRD009,ST07,1,30.83,Damaged
R0063,SAL03707,2023-10-07,PRD045,ST07,2,1238.94,Wrong Item
R0064,SAL04208,2022-11-09,PRD079,ST06,1,137.25,Defective
R0065,SAL00741,2022-08-02,PRD033,ST11,1,323.14,Wrong Item
R0066,SAL04437,2023-05-28,PRD039,ST11,4,1728.16,Wrong Item
R0067,SAL02067,2024-03-19,PRD028,ST01,1,137.79,Defective
R0068,SAL02893,2024-05-17,PRD066,ST02,1,893.27,Not as Described
R0069,SAL02626,2023-07-14,PRD036,ST02,1,418.23,Defective
