SalesID,OrderDate,StoreID,CustomerID,ProductID,Quantity,SalesAmount,CostAmount,Profit,Channel
SAL00001,2023-12-29,ST10,CUS0233,PRD049,1,413.82,259.65,154.17,Marketplace
SAL00002,2023-01-07,ST04,CUS0342,PRD060,2,688.07,330.36,357.71,Marketplace
SAL00003,2024-02-12,ST10,CUS0019,PRD024,1,75.22,41.01,34.21,Retail Store
SAL00004,2023-01-14,ST04,CUS0093,PRD006,2,296.91,146.84,150.07,Online
SAL00005,2025-04-06,ST04,CUS0157,PRD056,2,826.1,539.24,286.86,Retail Store
SAL00006,2022-07-17,ST07,CUS0261,PRD047,2,632.0,429.06,202.94,Marketplace
SAL00007,2025-06-01,ST06,CUS0137,PRD021,1,148.63,117.72,30.91,Marketplace
SAL00008,2023-07-21,ST11,CUS0341,PRD014,1,195.85,104.45,91.4,Mobile App
SAL00009,2023-06-14,ST04,CUS0317,PRD057,2,883.8,407.06,476.74,Marketplace
SAL00010,2023-03-10,ST02,CUS0004,PRD060,1,362.14,165.18,196.96,Mobile App
SAL00011,2023-05-10,ST10,CUS0348,PRD040,1,151.02,93.59,57.43,Marketplace
SAL00012,2024-11-23,ST11,CUS0106,PRD064,3,510.33,309.6,200.73,Marketplace
SAL00013,2024-12-05,ST07,CUS0301,PRD001,1,333.73,221.71,112.02,Mobile App
SAL00014,2024-07-01,ST09,CUS0261,PRD053,3,1449.55,843.9,605.65,Marketplace
SAL00015,2023-08-06,ST09,CUS0018,PRD009,1,39.74,20.42,19.32,Marketplace
SAL00016,2023-11-30,ST09,CUS0178,PRD026,2,1003.87,480.48,523.39,Marketplace
SAL00017,2025-04-23,ST04,CUS0151,PRD076,3,396.6,243.6,153.0,Marketplace
SAL00018,2025-04-16,ST08,CUS0140,PRD036,1,332.3,199.03,133.27,Online
SAL00019,2025-01-31,ST03,CUS0103,PRD049,1,436.81,259.65,177.16,Marketplace
SAL00020,2025-02-07,ST07,CUS0337,PRD064,2,340.22,206.4,133.82,Marketplace
SAL00021,2024-11-28,ST06,CUS0377,PRD034,2,281.72,206.0,75.72,Marketplace
SAL00022,2024-02-11,ST10,CUS0198,PRD050,1,127.11,76.64,50.47,Mobile App
SAL00023,2023-03-15,ST02,CUS0382,PRD057,3,1325.7,610.59,715.11,Mobile App
SAL00024,2023-02-14,ST08,CUS0141,PRD031,1,448.4,226.91,221.49,Mobile App
SAL00025,2024-07-17,ST11,CUS0368,PRD005,4,288.84,167.0,121.84,Mobile App
SAL00026,2023-09-22,ST06,CUS0397,PRD004,2,1083.9,583.56,500.34,Marketplace
SAL00027,2022-10-20,ST10,CUS0087,PRD064,4,680.44,412.8,267.64,Mobile App
SAL00028,2023-07-07,ST07,CUS0313,PRD068,1,339.4,241.43,97.97,Online
SAL00029,2022-09-14,ST06,CUS0133,PRD080,1,349.85,175.08,174.77,Online
SAL00030,2024-03-14,ST05,CUS0179,PRD057,2,795.42,407.06,388.36,Retail Store
SAL00031,2024-02-23,ST01,CUS0269,PRD062,1,400.07,264.27,135.8,Online
SAL00032,2024-10-12,ST04,CUS0111,PRD069,2,694.03,445.28,248.75,Mobile App
SAL00033,2025-03-09,ST04,CUS0298,PRD052,3,990.18,522.96,467.22,Retail Store
SAL00034,2025-06-27,ST10,CUS0209,PRD032,4,2425.62,1290.4,1135.22,Mobile App
SAL00035,2022-09-02,ST12,CUS0022,PRD068,1,339.4,241.43,97.97,Retail Store
SAL00036,2024-03-30,ST08,CUS0114,PRD061,1,351.38,170.32,181.06,Retail Store
SAL00037,2023-04-06,ST06,CUS0045,PRD036,1,332.3,199.03,133.27,Marketplace
SAL00038,2023-04-15,ST12,CUS0091,PRD028,1,213.33,140.6,72.73,Retail Store
SAL00039,2024-10-10,ST01,CUS0053,PRD041,1,198.13,103.96,94.17,Marketplace
