Date,Year,Quarter,Month,MonthName,MonthYear,Week,DayName,IsWeekend
2023-01-01,2023,1,1,January,2023-01,52,Sunday,1
2023-01-02,2023,1,1,January,2023-01,1,Monday,0
2023-01-03,2023,1,1,January,2023-01,1,Tuesday,0
2023-01-04,2023,1,1,January,2023-01,1,Wednesday,0
2023-01-05,2023,1,1,January,2023-01,1,Thursday,0
2023-01-06,2023,1,1,January,2023-01,1,Friday,0
2023-01-07,2023,1,1,January,2023-01,1,Saturday,1
2023-01-08,2023,1,1,January,2023-01,1,Sunday,1
2023-01-09,2023,1,1,January,2023-01,2,Monday,0
2023-01-10,2023,1,1,January,2023-01,2,Tuesday,0
2023-01-11,2023,1,1,January,2023-01,2,Wednesday,0
2023-01-12,2023,1,1,January,2023-01,2,Thursday,0
2023-01-13,2023,1,1,January,2023-01,2,Friday,0
2023-01-14,2023,1,1,January,2023-01,2,Saturday,1
2023-01-15,2023,1,1,January,2023-01,2,Sunday,1
2023-01-16,2023,1,1,January,2023-01,3,Monday,0
2023-01-17,2023,1,1,January,2023-01,3,Tuesday,0
2023-01-18,2023,1,1,January,2023-01,3,Wednesday,0
2023-01-19,2023,1,1,January,2023-01,3,Thursday,0
2023-01-20,2023,1,1,January,2023-01,3,Friday,0
2023-01-21,2023,1,1,January,2023-01,3,Saturday,1
2023-01-22,2023,1,1,January,2023-01,3,Sunday,1
2023-01-23,2023,1,1,January,2023-01,4,Monday,0
2023-01-24,2023,1,1,January,2023-01,4,Tuesday,0
2023-01-25,2023,1,1,January,2023-01,4,Wednesday,0
2023-01-26,2023,1,1,January,2023-01,4,Thursday,0
2023-01-27,2023,1,1,January,2023-01,4,Friday,0
2023-01-28,2023,1,1,January,2023-01,4,Saturday,1
2023-01-29,2023,1,1,January,2023-01,4,Sunday,1
2023-01-30,2023,1,1,January,2023-01,5,Monday,0
2023-01-31,2023,1,1,January,2023-01,5,Tuesday,0
2023-02-01,2023,1,2,February,2023-02,5,Wednesday,0
2023-02-02,2023,1,2,February,2023-02,5,Thursday,0
