ProductID,ProductName,Category,Brand,UnitCost,UnitPrice
P001,Nexus Item 1,Laptops,Nexus,318.25,706.57
P002,Pulse Item 2,Gaming,Aero,197.54,570.24
P003,Pulse Item 3,Accessories,Pulse,112.02,606.67
P004,Aero Item 4,Accessories,Orbit,233.76,339.99
P005,Aero Item 5,Audio,Pulse,280.69,563.96
P006,Pulse Item 6,Laptops,Orbit,38.9,323.25
P007,Pulse Item 7,Smartphones,Pulse,354.8,58.64
P008,Nexus Item 8,Accessories,Nexus,380.57,692.61
P009,Aero Item 9,Audio,Orbit,283.05,449.22
P010,Pulse Item 10,Laptops,Orbit,290.1,774.37
P011,Pulse Item 11,Smartphones,Pulse,253.22,771.23
P012,Aero Item 12,Audio,Aero,157.89,457.21
P013,Pulse Item 13,Smartphones,Aero,77.84,302.9
P014,Pulse Item 14,Accessories,Nexus,86.92,98.8
P015,Pulse Item 15,Laptops,Nexus,139.34,832.71
P016,Nexus Item 16,Smartphones,Aero,129.06,701.97
P017,Pulse Item 17,Audio,Orbit,265.06,518.13
P018,Aero Item 18,Wearables,Pulse,314.13,688.75
P019,Nexus Item 19,Accessories,Pulse,335.58,120.38
P020,Nexus Item 20,Accessories,Aero,218.7,742.8
P021,Nexus Item 21,Smartphones,Pulse,349.05,484.16
P022,Pulse Item 22,Audio,Pulse,225.66,324.67
P023,Nexus Item 23,Wearables,Pulse,255.0,236.18
P024,Aero Item 24,Laptops,Orbit,153.67,828.99
P025,Pulse Item 25,Audio,Orbit,266.96,823.99
P026,Aero Item 26,Gaming,Pulse,192.38,108.36
P027,Pulse Item 27,Smartphones,Orbit,203.1,634.58
P028,Nexus Item 28,Gaming,Orbit,299.43,554.16
P029,Nexus Item 29,Gaming,Orbit,116.97,282.63
P030,Aero Item 30,Audio,Orbit,308.05,657.07
P031,Pulse Item 31,Laptops,Pulse,286.24,126.08
P032,Aero Item 32,Audio,Aero,296.35,345.88
P033,Nexus Item 33,Smartphones,Orbit,293.6,742.23
P034,Pulse Item 34,Laptops,Orbit,314.94,560.35
P035,Pulse Item 35,Gaming,Nexus,272.69,824.45
P036,Nexus Item 36,Smartphones,Orbit,357.09,780.81
P037,Pulse Item 37,Accessories,Pulse,385.8,843.59
P038,Aero Item 38,Smartphones,Pulse,397.37,490.65
P039,Pulse Item 39,Smartphones,Aero,373.85,56.39
P040,Nexus Item 40,Wearables,Pulse,99.01,675.96
P041,Pulse Item 41,Audio,Nexus,33.46,69.86
P042,Pulse Item 42,Audio,Pulse,140.98,269.47
P043,Aero Item 43,Smartphones,Orbit,386.09,772.94
P044,Nexus Item 44,Smartphones,Aero,212.6,437.3
P045,Pulse Item 45,Smartphones,Pulse,127.08,408.54
P046,Nexus Item 46,Laptops,Nexus,349.48,475.9
P047,Nexus Item 47,Audio,Nexus,118.67,709.02
P048,Pulse Item 48,Smartphones,Pulse,154.5,344.06
P049,Nexus Item 49,Audio,Nexus,236.79,647.69
P050,Pulse Item 50,Audio,Orbit,164.87,526.29
P051,Pulse Item 51,Wearables,Nexus,383.14,822.17
P052,Aero Item 52,Laptops,Orbit,64.51,387.52
P053,Aero Item 53,Audio,Aero,175.88,220.39
P054,Aero Item 54,Accessories,Pulse,278.44,261.12
P055,Pulse Item 55,Wearables,Nexus,244.81,725.09
P056,Pulse Item 56,Gaming,Orbit,278.46,821.95
P057,Pulse Item 57,Gaming,Orbit,34.16,581.41
P058,Pulse Item 58,Wearables,Pulse,133.49,636.91
P059,Aero Item 59,Smartphones,Aero,245.23,139.49
P060,Aero Item 60,Wearables,Pulse,138.25,467.39
P061,Pulse Item 61,Wearables,Nexus,396.5,288.77
P062,Nexus Item 62,Audio,Nexus,91.36,306.26
P063,Pulse Item 63,Accessories,Nexus,112.47,797.53
P064,Pulse Item 64,Wearables,Nexus,130.54,286.72
P065,Pulse Item 65,Accessories,Orbit,143.64,527.08
P066,Pulse Item 66,Gaming,Aero,94.05,175.54
P067,Nexus Item 67,Audio,Aero,303.9,641.05
P068,Nexus Item 68,Accessories,Orbit,376.99,461.92
P069,Aero Item 69,Wearables,Nexus,160.09,713.43
P070,Nexus Item 70,Accessories,Aero,144.72,99.22
P071,Nexus Item 71,Wearables,Orbit,253.92,143.99
P072,Pulse Item 72,Wearables,Nexus,235.14,803.55
P073,Aero Item 73,Audio,Orbit,376.81,821.3
P074,Aero Item 74,Accessories,Aero,350.01,174.11
P075,Pulse Item 75,Gaming,Pulse,89.53,508.53
P076,Nexus Item 76,Accessories,Pulse,144.77,671.92
P077,Pulse Item 77,Audio,Orbit,391.83,286.51
P078,Pulse Item 78,Smartphones,Pulse,216.55,100.95
P079,Pulse Item 79,Laptops,Nexus,180.26,717.95
P080,Pulse Item 80,Accessories,Pulse,303.66,161.74
P081,Nexus Item 81,Audio,Pulse,42.77,215.28
P082,Aero Item 82,Wearables,Aero,136.73,716.0
P083,Aero Item 83,Gaming,Orbit,166.97,529.85
P084,Nexus Item 84,Wearables,Pulse,390.58,801.93
P085,Pulse Item 85,Wearables,Nexus,218.24,807.95
P086,Pulse Item 86,Wearables,Aero,167.27,576.58
P087,Pulse Item 87,Wearables,Nexus,250.47,769.64
P088,Pulse Item 88,Audio,Pulse,302.14,836.55
P089,Nexus Item 89,Gaming,Aero,227.16,666.48
