SalesID,OrderDate,StoreID,CustomerID,ProductID,Quantity,SalesAmount,CostAmount,Profit,Channel
S00001,2024-09-25,ST04,C0253,P047,1,709.02,118.67,590.35,Marketplace
S00002,2024-10-13,ST04,C0203,P082,2,1432.0,273.46,1158.54,Mobile App
S00003,2023-10-13,ST11,C0078,P054,2,496.13,556.88,-60.75,Marketplace
S00004,2025-02-15,ST14,C0067,P019,2,240.76,671.16,-430.4,Marketplace
S00005,2023-05-12,ST13,C0298,P004,1,339.99,233.76,106.23,Mobile App
S00006,2025-05-02,ST11,C0082,P040,2,1149.13,198.02,951.11,Mobile App
S00007,2025-07-26,ST09,C0423,P044,1,437.3,212.6,224.7,Retail Store
S00008,2023-06-07,ST07,C0391,P088,1,836.55,302.14,534.41,Mobile App
S00009,2025-03-12,ST13,C0199,P077,2,573.02,783.66,-210.64,Retail Store
S00010,2024-01-16,ST01,C0105,P025,4,2966.36,1067.84,1898.52,Marketplace
S00011,2023-02-07,ST07,C0449,P022,2,649.34,451.32,198.02,Online
S00012,2025-08-24,ST06,C0234,P065,2,1054.16,287.28,766.88,Mobile App
S00013,2024-08-09,ST13,C0120,P046,1,475.9,349.48,126.42,Online
S00014,2025-01-12,ST06,C0278,P039,2,95.86,747.7,-651.84,Retail Store
S00015,2024-06-20,ST06,C0367,P018,1,619.88,314.13,305.75,Marketplace
S00016,2025-04-04,ST12,C0299,P080,3,412.44,910.98,-498.54,Mobile App
S00017,2023-09-10,ST04,C0300,P066,3,447.63,282.15,165.48,Marketplace
S00018,2024-10-10,ST02,C0178,P020,1,742.8,218.7,524.1,Marketplace
S00019,2023-01-20,ST02,C0153,P056,1,739.76,278.46,461.3,Online
S00020,2025-02-18,ST09,C0357,P070,1,94.26,144.72,-50.46,Mobile App
S00021,2024-10-25,ST10,C0274,P012,4,1737.4,631.56,1105.84,Mobile App
S00022,2023-12-13,ST14,C0307,P030,1,624.22,308.05,316.17,Mobile App
S00023,2024-03-01,ST06,C0142,P026,1,108.36,192.38,-84.02,Online
S00024,2024-11-02,ST06,C0380,P068,1,461.92,376.99,84.93,Retail Store
S00025,2023-08-28,ST14,C0211,P038,2,981.3,794.74,186.56,Retail Store
S00026,2025-04-06,ST12,C0030,P011,1,732.67,253.22,479.45,Mobile App
S00027,2025-06-08,ST08,C0368,P077,1,243.53,391.83,-148.3,Mobile App
S00028,2023-12-21,ST15,C0088,P024,1,828.99,153.67,675.32,Mobile App
S00029,2024-12-29,ST03,C0126,P014,1,93.86,86.92,6.94,Online
S00030,2025-05-03,ST15,C0354,P053,1,220.39,175.88,44.51,Online
S00031,2023-05-19,ST02,C0163,P049,3,1651.61,710.37,941.24,Mobile App
S00032,2023-11-10,ST12,C0166,P053,1,209.37,175.88,33.49,Mobile App
S00033,2024-12-16,ST07,C0387,P089,1,666.48,227.16,439.32,Online
S00034,2025-03-27,ST07,C0207,P045,1,408.54,127.08,281.46,Marketplace
S00035,2025-05-20,ST12,C0295,P025,2,1400.78,533.92,866.86,Marketplace
S00036,2025-03-12,ST08,C0033,P034,2,1008.63,629.88,378.75,Mobile App
