TargetID,Year,Month,Region,SalesTarget,ProfitTarget
T0001,2023,1,North,296294,47348
T0002,2023,1,South,368352,41315
T0003,2023,1,East,210872,60064
T0004,2023,1,West,274156,38526
T0005,2023,2,North,257502,63772
T0006,2023,2,South,377959,65710
T0007,2023,2,East,123667,71241
T0008,2023,2,West,159438,49411
T0009,2023,3,North,305385,72848
T0010,2023,3,South,193236,85755
T0011,2023,3,East,328921,87488
T0012,2023,3,West,363997,28949
T0013,2023,4,North,193527,86486
T0014,2023,4,South,173492,80193
T0015,2023,4,East,247897,61285
T0016,2023,4,West,302318,62512
T0017,2023,5,North,323408,45407
T0018,2023,5,South,168411,25361
T0019,2023,5,East,235001,51129
T0020,2023,5,West,131186,42395
T0021,2023,6,North,282594,54946
T0022,2023,6,South,256654,68968
T0023,2023,6,East,172560,51436
T0024,2023,6,West,157883,86426
T0025,2023,7,North,221860,56406
T0026,2023,7,South,190466,66857
T0027,2023,7,East,214920,83117
T0028,2023,7,West,312970,48907
T0029,2023,8,North,322229,69987
T0030,2023,8,South,171327,50453
T0031,2023,8,East,185257,70412
T0032,2023,8,West,150726,58076
T0033,2023,9,North,157053,69142
T0034,2023,9,South,188971,84160
T0035,2023,9,East,366177,33806
T0036,2023,9,West,347289,47533
T0037,2023,10,North,319035,84442
T0038,2023,10,South,316818,59775
T0039,2023,10,East,292291,28205
T0040,2023,10,West,312960,48857
T0041,2023,11,North,206499,34554
T0042,2023,11,South,232086,72792
T0043,2023,11,East,139415,30796
T0044,2023,11,West,185921,38265
T0045,2023,12,North,316587,74574
T0046,2023,12,South,177661,64422
T0047,2023,12,East,243193,35998
T0048,2023,12,West,378050,88346
T0049,2024,1,North,330836,83928
T0050,2024,1,South,203354,49457
T0051,2024,1,East,163648,68177
T0052,2024,1,West,280038,27263
T0053,2024,2,North,225766,26495
T0054,2024,2,South,354946,50505
T0055,2024,2,East,283047,82438
T0056,2024,2,West,244859,69076
T0057,2024,3,North,289824,89432
T0058,2024,3,South,301269,33877
T0059,2024,3,East,205552,59977
T0060,2024,3,West,372240,34700
T0061,2024,4,North,341407,86577
T0062,2024,4,South,241610,39915
T0063,2024,4,East,332692,41676
T0064,2024,4,West,339289,26987
T0065,2024,5,North,132178,85571
T0066,2024,5,South,326857,65436
T0067,2024,5,East,216324,47974
T0068,2024,5,West,138433,81528
T0069,2024,6,North,216909,28766
T0070,2024,6,South,276151,31567
T0071,2024,6,East,177221,80702
T0072,2024,6,West,319258,31956
T0073,2024,7,North,328047,60546
T0074,2024,7,South,153554,25836
T0075,2024,7,East,257338,30057
T0076,2024,7,West,318306,37586
T0077,2024,8,North,360496,59947
T0078,2024,8,South,286671,26549
T0079,2024,8,East,206502,80971
T0080,2024,8,West,192768,50287
T0081,2024,9,North,352781,47156
T0082,2024,9,South,192744,34467
T0083,2024,9,East,167157,53151
T0084,2024,9,West,275657,47982
T0085,2024,10,North,241706,46201
T0086,2024,10,South,234686,69635
T0087,2024,10,East,315545,46468
T0088,2024,10,West,245781,81076
T0089,2024,11,North,206106,62188
T0090,2024,11,South,221990,42936
T0091,2024,11,East,271638,45696
T0092,2024,11,West,306580,85920
T0093,2024,12,North,131096,29873
T0094,2024,12,South,361587,60082
T0095,2024,12,East,207982,75707
T0096,2024,12,West,328407,41287
T0097,2025,1,North,310484,59636
T0098,2025,1,South,340101,85129
T0099,2025,1,East,245712,38338
T0100,2025,1,West,246355,84003
T0101,2025,2,North,221706,39027
T0102,2025,2,South,240094,64940
T0103,2025,2,East,249707,46080
T0104,2025,2,West,254383,78148
T0105,2025,3,North,239844,38328
T0106,2025,3,South,308110,48106
T0107,2025,3,East,162200,55419
T0108,2025,3,West,278203,44079
T0109,2025,4,North,135345,64913
T0110,2025,4,South,308199,82601
T0111,2025,4,East,367472,56898
T0112,2025,4,West,329887,67715
T0113,2025,5,North,127620,64950
T0114,2025,5,South,351876,26276
T0115,2025,5,East,261782,39081
T0116,2025,5,West,218909,36100
T0117,2025,6,North,317215,82204
T0118,2025,6,South,248627,49106
T0119,2025,6,East,197210,37945
T0120,2025,6,West,330624,44008
T0121,2025,7,North,328445,48967
T0122,2025,7,South,185226,64785
T0123,2025,7,East,240708,82447
T0124,2025,7,West,161359,54275
T0125,2025,8,North,248169,65726
T0126,2025,8,South,308894,61912
T0127,2025,8,East,349458,77287
T0128,2025,8,West,214422,60757
