ReturnID,SalesID,ReturnDate,ProductID,StoreID,CustomerID,ReturnQuantity,RefundAmount,ReturnReason
RET0001,SAL05862,2023-05-02,PRD108,ST04,CUS0366,1,120.93,Defective
RET0002,SAL05740,2023-11-22,PRD051,ST03,CUS0012,1,1756.76,Performance Issues
RET0003,SAL10083,2022-04-05,PRD066,ST04,CUS0245,1,1453.37,Changed Mind
RET0004,SAL07534,2022-12-21,PRD009,ST17,CUS0249,1,510.95,Damaged
RET0005,SAL01667,2025-05-17,PRD036,ST08,CUS0027,1,738.46,Changed Mind
RET0006,SAL04405,2024-12-30,PRD038,ST08,CUS0324,1,398.73,Performance Issues
RET0007,SAL04531,2025-04-05,PRD091,ST01,CUS0135,1,266.06,Wrong Item
RET0008,SAL04810,2022-03-23,PRD062,ST03,CUS0519,1,1213.67,Damaged
RET0009,SAL08422,2025-07-30,PRD030,ST15,CUS0091,1,19.7,Damaged
RET0010,SAL03100,2025-05-03,PRD055,ST10,CUS0040,1,94.29,Wrong Item
RET0011,SAL06663,2024-10-25,PRD108,ST02,CUS0415,1,134.02,Changed Mind
RET0012,SAL06305,2025-01-15,PRD012,ST15,CUS0510,1,275.4,Defective
RET0013,SAL08930,2025-02-28,PRD109,ST13,CUS0388,1,1410.97,Defective
RET0014,SAL11203,2025-05-14,PRD021,ST15,CUS0567,1,1317.01,Damaged
RET0015,SAL03570,2022-03-25,PRD116,ST04,CUS0076,1,215.85,Changed Mind
RET0016,SAL02394,2024-10-28,PRD022,ST15,CUS0080,1,272.09,Performance Issues
RET0017,SAL01712,2022-12-15,PRD068,ST15,CUS0174,2,626.68,Performance Issues
RET0018,SAL01651,2022-11-17,PRD009,ST03,CUS0210,1,743.24,Changed Mind
RET0019,SAL04928,2024-07-31,PRD020,ST10,CUS0238,1,181.47,Changed Mind
RET0020,SAL05553,2024-11-15,PRD035,ST05,CUS0461,1,720.38,Defective
RET0021,SAL03905,2023-02-20,PRD049,ST05,CUS0235,1,223.66,Damaged
RET0022,SAL08465,2022-11-24,PRD118,ST16,CUS0533,1,899.8,Damaged
RET0023,SAL04794,2023-07-24,PRD112,ST02,CUS0029,1,557.47,Wrong Item
RET0024,SAL05229,2023-04-05,PRD106,ST10,CUS0421,1,1593.3,Changed Mind
RET0025,SAL09614,2023-01-01,PRD049,ST10,CUS0573,1,283.76,Changed Mind
RET0026,SAL04352,2024-02-29,PRD046,ST07,CUS0015,1,440.6,Damaged
RET0027,SAL09202,2023-09-23,PRD049,ST14,CUS0538,1,1166.98,Wrong Item
RET0028,SAL07769,2022-10-17,PRD059,ST06,CUS0215,1,136.36,Changed Mind
RET0029,SAL02870,2023-08-08,PRD086,ST04,CUS0598,1,454.16,Damaged
RET0030,SAL08492,2024-11-14,PRD111,ST06,CUS0596,1,363.95,Wrong Item
RET0031,SAL08265,2025-07-11,PRD073,ST17,CUS0326,1,867.91,Wrong Item
RET0032,SAL09147,2023-01-11,PRD100,ST08,CUS0216,1,177.13,Wrong Item
RET0033,SAL09767,2023-10-17,PRD030,ST05,CUS0321,1,29.48,Wrong Item
RET0034,SAL10801,2022-03-06,PRD105,ST07,CUS0208,2,945.73,Changed Mind
RET0035,SAL03969,2022-12-05,PRD098,ST08,CUS0105,1,309.26,Performance Issues
RET0036,SAL00442,2024-01-05,PRD019,ST14,CUS0203,2,845.08,Damaged
RET0037,SAL08159,2022-06-02,PRD021,ST15,CUS0198,1,425.14,Wrong Item
RET0038,SAL07540,2025-06-10,PRD038,ST09,CUS0147,1,320.01,Changed Mind
RET0039,SAL10798,2025-01-21,PRD118,ST13,CUS0171,3,1505.43,Damaged
RET0040,SAL04932,2023-12-15,PRD025,ST05,CUS0049,1,812.85,Defective
RET0041,SAL11851,2024-06-15,PRD077,ST15,CUS0561,1,127.0,Changed Mind
RET0042,SAL11317,2023-07-27,PRD090,ST07,CUS0405,1,296.68,Wrong Item
RET0043,SAL08919,2024-10-21,PRD042,ST02,CUS0378,1,305.57,Defective
RET0044,SAL02972,2023-11-19,PRD082,ST06,CUS0363,1,772.76,Performance Issues
RET0045,SAL06945,2025-02-04,PRD034,ST12,CUS0082,1,437.23,Performance Issues
RET0046,SAL04845,2024-05-04,PRD046,ST08,CUS0591,2,1169.85,Wrong Item
RET0047,SAL11573,2022-03-25,PRD022,ST08,CUS0314,1,300.24,Damaged
RET0048,SAL05858,2024-11-13,PRD049,ST16,CUS0452,2,665.67,Damaged
RET0049,SAL09414,2023-11-17,PRD063,ST17,CUS0196,1,135.04,Performance Issues
RET0050,SAL06911,2024-01-25,PRD010,ST16,CUS0475,1,291.49,Wrong Item
RET0051,SAL07829,2023-05-17,PRD015,ST04,CUS0588,1,588.72,Wrong Item
RET0052,SAL11872,2025-08-27,PRD104,ST12,CUS0453,1,498.1,Defective
RET0053,SAL09755,2023-12-12,PRD012,ST17,CUS0181,1,460.61,Defective
RET0054,SAL00470,2023-02-26,PRD106,ST17,CUS0165,2,1188.36,Changed Mind
RET0055,SAL04922,2025-04-01,PRD006,ST16,CUS0561,1,1375.45,Damaged
RET0056,SAL11966,2023-02-06,PRD003,ST15,CUS0217,1,95.99,Defective
