SalesID,OrderDate,StoreID,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,Channel
SAL00001,2024-08-08,ST07,CUS0063,PRD032,2,542.86,0.0,1085.72,697.04,388.68,Mobile App
SAL00002,2023-12-30,ST14,CUS0593,PRD079,4,270.44,0.2,865.41,565.68,299.73,Marketplace
SAL00003,2022-02-13,ST16,CUS0018,PRD118,1,509.32,0.0,509.32,258.39,250.93,Marketplace
SAL00004,2023-02-27,ST11,CUS0184,PRD050,1,724.19,0.0,724.19,473.5,250.69,Marketplace
SAL00005,2022-03-08,ST01,CUS0528,PRD009,2,989.77,0.0,1979.54,935.34,1044.2,Retail Store
SAL00006,2022-10-24,ST08,CUS0565,PRD042,3,466.15,0.1,1258.6,647.73,610.87,Retail Store
SAL00007,2023-01-16,ST05,CUS0324,PRD035,4,733.89,0.15,2495.23,1700.12,795.11,Marketplace
SAL00008,2024-11-02,ST07,CUS0254,PRD065,1,284.37,0.0,284.37,151.95,132.42,Marketplace
SAL00009,2024-08-25,ST06,CUS0010,PRD109,3,935.96,0.2,2246.3,1264.86,981.44,Mobile App
SAL00010,2022-10-28,ST17,CUS0271,PRD098,1,391.68,0.05,372.1,245.72,126.38,Mobile App
SAL00011,2023-07-12,ST03,CUS0079,PRD012,1,487.09,0.05,462.74,267.22,195.52,Marketplace
SAL00012,2024-10-19,ST12,CUS0405,PRD075,2,428.45,0.0,856.9,637.9,219.0,Mobile App
SAL00013,2022-01-09,ST13,CUS0190,PRD026,1,355.53,0.0,355.53,158.07,197.46,Mobile App
SAL00014,2023-10-07,ST10,CUS0216,PRD090,1,488.25,0.2,390.6,284.98,105.62,Marketplace
SAL00015,2024-10-30,ST01,CUS0315,PRD057,3,976.46,0.2,2343.5,1474.59,868.91,Retail Store
SAL00016,2024-07-25,ST06,CUS0282,PRD028,2,100.94,0.1,181.69,111.92,69.77,Marketplace
SAL00017,2022-09-16,ST06,CUS0177,PRD110,1,685.64,0.0,685.64,339.37,346.27,Online
SAL00018,2024-07-26,ST14,CUS0176,PRD102,2,83.11,0.0,166.22,90.84,75.38,Retail Store
SAL00019,2022-03-12,ST17,CUS0254,PRD017,1,181.3,0.0,181.3,120.89,60.41,Marketplace
SAL00020,2024-02-12,ST03,CUS0030,PRD054,3,494.07,0.0,1482.21,622.35,859.86,Marketplace
SAL00021,2023-12-24,ST08,CUS0461,PRD033,3,261.09,0.0,783.27,528.33,254.94,Mobile App
SAL00022,2023-01-13,ST06,CUS0336,PRD027,3,648.33,0.15,1653.24,1260.87,392.37,Online
SAL00023,2023-06-27,ST13,CUS0283,PRD085,4,782.72,0.0,3130.88,1672.88,1458.0,Marketplace
SAL00024,2025-08-18,ST09,CUS0196,PRD063,2,84.8,0.05,161.12,130.28,30.84,Mobile App
SAL00025,2022-11-09,ST17,CUS0170,PRD076,1,470.62,0.0,470.62,253.19,217.43,Retail Store
