TargetID,Year,Month,Region,SalesTarget,ProfitTarget
T0001,2023,1,North,387321,64788
T0002,2023,1,South,397969,66950
T0003,2023,1,East,245371,53650
T0004,2023,1,West,429743,64861
T0005,2023,2,North,413265,82314
T0006,2023,2,South,351322,64896
T0007,2023,2,East,371931,42347
T0008,2023,2,West,382018,66285
T0009,2023,3,North,300077,56421
T0010,2023,3,South,437435,82384
T0011,2023,3,East,262308,55378
T0012,2023,3,West,272203,90220
T0013,2023,4,North,185696,63299
T0014,2023,4,South,188743,62099
T0015,2023,4,East,441202,72426
T0016,2023,4,West,272681,82947
T0017,2023,5,North,297987,78895
T0018,2023,5,South,243579,74900
T0019,2023,5,East,332368,34179
T0020,2023,5,West,258941,84436
T0021,2023,6,North,316121,58382
T0022,2023,6,South,332910,86229
T0023,2023,6,East,321750,66941
T0024,2023,6,West,409770,73916
T0025,2023,7,North,294454,58365
T0026,2023,7,South,263285,69106
T0027,2023,7,East,306428,55860
T0028,2023,7,West,257592,77078
T0029,2023,8,North,289310,58353
T0030,2023,8,South,312890,38566
T0031,2023,8,East,422360,83210
T0032,2023,8,West,267717,75245
T0033,2023,9,North,284235,105236
T0034,2023,9,South,303524,78667
T0035,2023,9,East,191292,100035
T0036,2023,9,West,250688,91711
T0037,2023,10,North,285319,63528
T0038,2023,10,South,153186,51361
T0039,2023,10,East,377192,55771
T0040,2023,10,West,309513,63803
T0041,2023,11,North,386642,34565
T0042,2023,11,South,249961,103008
T0043,2023,11,East,354359,86498
T0044,2023,11,West,367268,67071
T0045,2023,12,North,306460,87882
T0046,2023,12,South,435448,67639
T0047,2023,12,East,449809,35828
T0048,2023,12,West,440984,97317
T0049,2024,1,North,223209,50170
T0050,2024,1,South,389024,49771
T0051,2024,1,East,404425,66826
T0052,2024,1,West,181752,63973
T0053,2024,2,North,175579,36211
T0054,2024,2,South,168826,81427
T0055,2024,2,East,354714,80361
T0056,2024,2,West,248503,90311
T0057,2024,3,North,362442,108398
T0058,2024,3,South,204812,43473
T0059,2024,3,East,208878,78688
T0060,2024,3,West,421533,82168
T0061,2024,4,North,367549,37965
T0062,2024,4,South,251719,51055
T0063,2024,4,East,313074,62651
T0064,2024,4,West,283524,90187
T0065,2024,5,North,331789,92813
T0066,2024,5,South,346080,98715
T0067,2024,5,East,171893,108906
T0068,2024,5,West,443371,44635
T0069,2024,6,North,287274,49550
T0070,2024,6,South,446077,106913
T0071,2024,6,East,411647,78422
T0072,2024,6,West,321681,100372
T0073,2024,7,North,173960,92672
T0074,2024,7,South,326134,56272
T0075,2024,7,East,411150,76299
T0076,2024,7,West,411764,104769
T0077,2024,8,North,283746,82429
T0078,2024,8,South,214216,51614
T0079,2024,8,East,373284,61133
T0080,2024,8,West,340719,64577
T0081,2024,9,North,236629,74599
T0082,2024,9,South,221420,35108
T0083,2024,9,East,348469,66738
T0084,2024,9,West,286051,101369
T0085,2024,10,North,251614,42930
T0086,2024,10,South,182122,95106
T0087,2024,10,East,294458,54443
T0088,2024,10,West,391344,72722
T0089,2024,11,North,184610,70448
T0090,2024,11,South,303911,80388
T0091,2024,11,East,286662,104035
T0092,2024,11,West,183747,98248
T0093,2024,12,North,156606,67797
T0094,2024,12,South,322406,31128
T0095,2024,12,East,198928,105234
T0096,2024,12,West,277482,66963
T0097,2025,1,North,192603,77084
T0098,2025,1,South,180722,89172
T0099,2025,1,East,227373,40840
T0100,2025,1,West,446344,33225
T0101,2025,2,North,182430,74360
T0102,2025,2,South,231001,104425
T0103,2025,2,East,263343,77793
T0104,2025,2,West,425498,94420
T0105,2025,3,North,302722,62922
T0106,2025,3,South,317666,48684
T0107,2025,3,East,413263,97182
T0108,2025,3,West,406270,56942
T0109,2025,4,North,209686,47144
T0110,2025,4,South,353636,77074
T0111,2025,4,East,292301,94035
T0112,2025,4,West,253904,46693
T0113,2025,5,North,241460,51270
T0114,2025,5,South,186789,60671
T0115,2025,5,East,159138,31945
T0116,2025,5,West,153793,92170
T0117,2025,6,North,430264,92242
T0118,2025,6,South,265355,48528
T0119,2025,6,East,431182,99651
T0120,2025,6,West,342745,92191
T0121,2025,7,North,268336,86982
T0122,2025,7,South,305571,86180
T0123,2025,7,East,408117,91526
T0124,2025,7,West,370486,58312
T0125,2025,8,North,161674,49512
T0126,2025,8,South,328976,44377
T0127,2025,8,East,285766,93302
T0128,2025,8,West,277224,107814
